data(p149):a2(A,2):-0.3271161170993295 
data(p657):a6(A,c):0.7726910566336861 
data(p657):a7(A,h):0.6607516363135004 
data(p657):a9(A,f):-3.2780485040447593 
data(p657):a10(A,t):-0.784956613007346 
data(p657):a12(A,t):-0.014992319779296236 
data(p657):a13(A,g):-0.2414724843663762 
data(p79):a2(A,0):-0.8488266208847095 
data(p79):a3(A,1):-0.487768539111894 
data(p79):a8(A,2):1.5343358297347054 
data(p79):a11(A,0):-0.48831312582953745 
data(p79):a14(A,2):-0.49198861615313944 
data(p79):a15(A,1):-0.3445507301070261 
data(p79):a1(A,b):0.35628458530050644 
data(p79):a4(A,y):-1.2966589478037227 
data(p79):a5(A,p):-0.8674637642489264 
data(p79):a6(A,k):-0.6990144959671248 
data(p79):a7(A,v):0.10187502421322552 
data(p79):a9(A,t):0.9960426823361804 
data(p79):a10(A,t):-0.175580666680984 
data(p79):a12(A,f):0.31114347407681664 
data(p79):a13(A,g):-0.0900424007812725 
data(p495):a2(A,0):0.8762083201431394 
data(p495):a3(A,2):0.7137261124767861 
data(p495):a8(A,3):1.9773066804072446 
data(p495):a11(A,0):-0.35124794952782434 
data(p495):a14(A,2):-1.0445535353837765 
data(p495):a15(A,0):-0.5774290259669173 
data(p495):a1(A,a):1.190266793748771 
data(p495):a4(A,y):-1.1312915548762696 
data(p495):a5(A,p):-0.782033063907025 
data(p495):a6(A,c):0.059324828800493334 
data(p495):a7(A,h):0.8481465244308264 
data(p495):a9(A,t):1.001530468623904 
data(p495):a10(A,f):-1.0960553620681 
data(p495):a12(A,f):0.790545654745446 
data(p495):a13(A,g):-0.204038598001288 
data(p43):a2(A,2):-0.6639343397265505 
data(p43):a3(A,1):-0.03898550849472556 
data(p43):a8(A,1):-2.1643940822690935 
data(p43):a11(A,0):-0.4630852178957223 
data(p43):a14(A,2):-0.3960517347511763 
data(p43):a15(A,1):0.6907074564312758 
data(p43):a1(A,b):0.39622198013685445 
data(p43):a4(A,u):-0.075862362049646 
data(p43):a5(A,g):-0.17690046530165035 
data(p43):a6(A,w):2.152945919382126 
data(p43):a7(A,h):1.4808271680545944 
data(p43):a9(A,t):1.4327457547810367 
data(p43):a10(A,t):-0.12300811372695136 
data(p43):a12(A,f):0.8220093885750042 
data(p43):a13(A,g):-0.09109431909228662 
data(p134):a2(A,2):-1.0522686967255537 
data(p134):a3(A,2):-0.20587464790926777 
data(p134):a8(A,2):0.7326284689325042 
data(p134):a11(A,1):1.5251187488662696 
data(p134):a14(A,0):0.25651549020301573 
data(p134):a15(A,1):-0.6482507138670585 
data(p134):a1(A,b):0.28703370928573474 
data(p134):a4(A,u):-0.07032227923227619 
data(p134):a5(A,g):-0.1445054799036365 
data(p134):a6(A,c):0.5406035273869443 
data(p134):a7(A,bb):0.19140489994028242 
data(p134):a9(A,t):1.5839055688161774 
data(p134):a10(A,t):0.046884288144114 
data(p134):a12(A,f):0.09272639304695249 
data(p134):a13(A,g):-0.10028018738616641 
data(p556):a2(A,3):0.11495719770213167 
data(p556):a3(A,0):1.4888287513972636 
data(p556):a8(A,1):-2.0846817376748823 
data(p556):a11(A,1):1.291581478840224 
data(p556):a14(A,2):-0.6163601803036408 
data(p556):a15(A,2):1.7293308638587552 
data(p556):a1(A,b):0.4051477057768693 
data(p556):a4(A,u):-0.06529392018629045 
data(p556):a5(A,g):-0.1430690631209806 
data(p556):a6(A,c):0.1864407575630915 
data(p556):a7(A,h):0.6074838017394102 
data(p556):a9(A,t):1.4182252024813125 
data(p556):a10(A,t):-0.0860478006142158 
data(p556):a12(A,f):0.8957105443004615 
data(p556):a13(A,g):-0.06254760733767724 
data(p560):a2(A,1):0.2354849471429907 
data(p560):a3(A,1):-0.8813045160816478 
data(p560):a8(A,2):0.3208257703715379 
data(p560):a11(A,1):1.0757048621079026 
data(p560):a14(A,1):-0.43414655794890905 
data(p560):a15(A,2):1.162190352115733 
data(p560):a1(A,a):0.6582803666000089 
data(p560):a4(A,u):-0.2722204898823369 
data(p560):a5(A,g):-0.20663091153265656 
data(p560):a6(A,q):-0.5143212698599741 
data(p560):a7(A,h):1.064051711220196 
data(p560):a9(A,t):1.5615683076486255 
data(p560):a10(A,t):-0.2698167069187861 
data(p560):a12(A,t):-0.1653657089375482 
data(p560):a13(A,g):-0.127451893689732 
data(p251):a2(A,3):-0.47121741133013667 
data(p251):a3(A,3):-0.8496148379367424 
data(p251):a8(A,3):3.184422201419391 
data(p251):a11(A,1):1.3215590504813524 
data(p251):a14(A,0):0.5917339130548889 
data(p251):a15(A,2):0.6339601208845685 
data(p251):a1(A,b):0.29226328003526686 
data(p251):a4(A,u):-0.03615570122197752 
data(p251):a5(A,g):-0.11009932285049254 
data(p251):a6(A,e):-0.010773443766794366 
data(p251):a7(A,z):0.0 
data(p251):a9(A,t):1.7727866339021054 
data(p251):a10(A,t):0.07495457516751776 
data(p251):a12(A,f):0.257144464858981 
data(p251):a13(A,g):-0.07980725500004993 
data(p651):a2(A,3):-0.8615361846207978 
data(p651):a3(A,2):-0.68749368986611 
data(p651):a8(A,1):-2.2228348056382337 
data(p651):a11(A,0):-0.4275346246430764 
data(p651):a14(A,1):-0.9492177753322611 
data(p651):a15(A,0):-0.13790453542345277 
data(p651):a1(A,b):0.44110092544691526 
data(p651):a4(A,u):-0.07468268886872657 
data(p651):a5(A,g):-0.16694502936732067 
data(p651):a6(A,i):-0.4050424887647241 
data(p651):a7(A,bb):0.30638231246987513 
data(p651):a9(A,f):-2.650920727954913 
data(p651):a10(A,f):-0.09137349699080394 
data(p651):a12(A,f):0.4740504298248853 
data(p651):a13(A,g):-0.1652223486987417 
data(p372):a2(A,1):0.755286271330675 
data(p372):a3(A,3):-0.37900425252755016 
data(p372):a8(A,0):-0.08108471696758447 
data(p372):a11(A,0):-0.39178358048589357 
data(p372):a14(A,1):-0.8683737245085641 
data(p372):a15(A,2):0.4853779657704487 
data(p372):a1(A,b):0.5591254846290808 
data(p372):a4(A,u):-0.4248000441503702 
data(p372):a5(A,g):-0.20385661063985377 
data(p372):a6(A,e):0.0580308310266408 
data(p372):a7(A,dd):0.0 
data(p372):a9(A,f):-3.2585015050601056 
data(p372):a10(A,f):0.08162953445871676 
data(p372):a12(A,t):0.4610233511701663 
data(p372):a13(A,g):-0.18841418174702795 
data(p520):a2(A,3):0.3350269867069868 
data(p520):a3(A,1):-0.2983925867688914 
data(p520):a8(A,0):1.6425585947830266 
data(p520):a11(A,1):1.379709118379125 
data(p520):a14(A,3):0.46043634365118674 
data(p520):a15(A,0):-1.0910625645259973 
data(p520):a1(A,b):0.5703393917541467 
data(p520):a4(A,u):-0.39111645299445 
data(p520):a5(A,g):-0.2177580211667057 
data(p520):a6(A,x):1.2408134903884736 
data(p520):a7(A,v):1.1135104348207607 
data(p520):a9(A,t):1.6016651629754468 
data(p520):a10(A,t):-0.3232482503617385 
data(p520):a12(A,t):0.16124440349703897 
data(p520):a13(A,g):-0.08254361104022491 
data(p193):a2(A,3):0.09499627441320409 
data(p193):a3(A,0):1.1671630085595452 
data(p193):a8(A,2):1.4650521797904275 
data(p193):a11(A,0):-0.3374675345838033 
data(p193):a14(A,3):1.3408759284418317 
data(p193):a15(A,2):2.484572582764817 
data(p193):a1(A,b):0.6371103907991484 
data(p193):a4(A,u):-0.12809128849563942 
data(p193):a5(A,g):-0.1046206582302946 
data(p193):a6(A,x):1.087007316633311 
data(p193):a7(A,v):0.5687696407615245 
data(p193):a9(A,t):1.240687047399251 
data(p193):a10(A,f):-0.5918981762438549 
data(p193):a12(A,f):0.34978958234132773 
data(p193):a13(A,g):0.006781570446632023 
data(p434):a2(A,1):0.5216591259026314 
data(p434):a3(A,0):0.9009989359604762 
data(p434):a8(A,1):-2.124185116966171 
data(p434):a11(A,0):-0.4291666943299685 
data(p434):a14(A,2):-1.4017209856027155 
data(p434):a15(A,0):-1.0202754203116915 
data(p434):a1(A,b):0.7164265515834973 
data(p434):a4(A,u):-0.43188483783672194 
data(p434):a5(A,g):-0.1994558449357802 
data(p434):a6(A,aa):-0.1978913076485326 
data(p434):a7(A,v):-0.4540664392592605 
data(p434):a9(A,f):-2.42616865792549 
data(p434):a10(A,f):-0.10609161206042475 
data(p434):a12(A,f):0.9429897640289973 
data(p434):a13(A,g):-0.10743134270792323 
data(p347):a2(A,2):-0.2093110399005477 
data(p347):a3(A,1):-1.2153733996598592 
data(p347):a8(A,1):-2.056840960505895 
data(p347):a11(A,0):-0.4240274804661097 
data(p347):a14(A,3):2.2531956635073107 
data(p347):a15(A,1):1.0909806460155425 
data(p347):a4(A,u):-0.5441642574943975 
data(p347):a5(A,g):-0.2079921313593533 
data(p347):a6(A,c):0.19597234922869158 
data(p347):a7(A,v):0.37654346348482626 
data(p347):a9(A,f):-2.741303458199417 
data(p347):a10(A,f):-0.13708794819419406 
data(p347):a12(A,t):0.1328347819974886 
data(p347):a13(A,g):-0.17147153113139504 
data(p568):a2(A,1):0.8840564421911455 
data(p568):a3(A,2):1.1050206416632524 
data(p568):a8(A,1):-0.6796504014639273 
data(p568):a11(A,0):-0.33500489597177385 
data(p568):a14(A,3):-0.2266945873808563 
data(p568):a15(A,0):-1.1527879146141857 
data(p568):a1(A,a):1.2005958342802376 
data(p568):a4(A,u):-0.3784272836336452 
data(p568):a5(A,g):-0.27098831941289436 
data(p568):a6(A,x):1.2788985912805901 
data(p568):a7(A,h):0.9185857517133983 
data(p568):a9(A,t):1.4469712546368618 
data(p568):a10(A,f):-0.8226935536011634 
data(p568):a12(A,f):0.7767251543826549 
data(p568):a13(A,g):-0.21478916892353148 
data(p644):a2(A,3):-0.49155383311125583 
data(p644):a3(A,2):-0.5275438724511675 
data(p644):a8(A,3):2.3340716391127896 
data(p644):a11(A,0):-0.348981804745981 
data(p644):a14(A,0):0.465982826033961 
data(p644):a15(A,0):0.1262236255934736 
data(p644):a1(A,a):0.944243047063683 
data(p644):a4(A,u):-0.14590081586365714 
data(p644):a5(A,g):-0.1470791869337436 
data(p644):a6(A,aa):-0.12257242874687137 
data(p644):a7(A,h):1.1201962035801283 
data(p644):a9(A,f):-2.9899996501641137 
data(p644):a10(A,f):-0.64982744277403 
data(p644):a12(A,f):0.6798339591230066 
data(p644):a13(A,g):-0.20012560682698222 
data(p380):a2(A,2):-1.1563602689499493 
data(p380):a3(A,0):0.634416852388507 
data(p380):a8(A,3):1.6212653391167624 
data(p380):a11(A,0):-0.3446499065357683 
data(p380):a14(A,3):0.1545585536447422 
data(p380):a15(A,0):-1.0756118867955593 
data(p380):a1(A,b):0.6976715565293249 
data(p380):a4(A,u):-0.7001687661070813 
data(p380):a5(A,g):-0.27612999831917473 
data(p380):a6(A,i):-0.4006059407994097 
data(p380):a7(A,bb):0.12436527102411389 
data(p380):a9(A,f):-1.2017517223584167 
data(p380):a10(A,f):-0.2622311293339912 
data(p380):a12(A,t):-0.14206953581241918 
data(p380):a13(A,s):-0.18417485923114726 
data(p427):a2(A,1):-0.07586870174784498 
data(p427):a3(A,1):-1.164611802665241 
data(p427):a8(A,1):-1.8301402127085318 
data(p427):a11(A,0):-0.44985418198802435 
data(p427):a14(A,2):-0.8820401842418015 
data(p427):a15(A,1):1.1299520863241308 
data(p427):a1(A,a):0.7419667681586763 
data(p427):a4(A,u):-0.6342687438597155 
data(p427):a5(A,g):-0.2855131046819261 
data(p427):a6(A,w):2.19707659386176 
data(p427):a7(A,v):-0.004376534014632901 
data(p427):a9(A,f):-2.84245822235822 
data(p427):a10(A,f):-0.32329852050404106 
data(p427):a12(A,t):-0.20919454768274554 
data(p427):a13(A,g):-0.18945809707026973 
data(p158):a2(A,3):0.22209504701728966 
data(p158):a3(A,3):-0.3049208652871041 
data(p158):a8(A,0):-0.6386637777193503 
data(p158):a11(A,1):1.1430227431397308 
data(p158):a14(A,0):0.45590417474428674 
data(p158):a15(A,2):0.5679254105592675 
data(p158):a1(A,a):2.020870188867333 
data(p158):a4(A,u):-0.16144725338059376 
data(p158):a5(A,g):-0.21226785077877874 
data(p158):a6(A,e):0.013082050497438694 
data(p158):a7(A,z):0.0 
data(p158):a9(A,t):1.8349581866781453 
data(p158):a10(A,t):0.06970451808893594 
data(p158):a12(A,f):0.008367511421670304 
data(p158):a13(A,g):-0.10466554729797148 
data(p475):a2(A,0):-0.3540232890587739 
data(p475):a3(A,0):2.304726827228825 
data(p475):a8(A,0):-0.7821869496182209 
data(p475):a11(A,0):-0.2601095692792343 
data(p475):a14(A,0):0.610595947204438 
data(p475):a15(A,1):-0.8319325224199738 
data(p475):a1(A,b):0.7218597248010057 
data(p475):a4(A,u):-0.08949329398040974 
data(p475):a5(A,g):-0.024663526576868024 
data(p475):a6(A,c):1.2462813931765495 
data(p475):a7(A,v):-0.05381467464733912 
data(p475):a9(A,f):-2.7290320704800304 
data(p475):a10(A,f):0.030692684687496488 
data(p475):a12(A,f):0.23950140060104302 
data(p475):a13(A,g):-0.026736901570883785 
data(p438):a2(A,3):0.21013148301892154 
data(p438):a3(A,0):1.0817410183824718 
data(p438):a8(A,0):-0.01324849632749582 
data(p438):a11(A,0):-0.2783871164411241 
data(p438):a14(A,0):-0.12196383155931738 
data(p438):a15(A,1):-0.22962221041456915 
data(p438):a1(A,a):1.0834921686493588 
data(p438):a4(A,u):-0.4992100649002168 
data(p438):a5(A,g):-0.2857268381898215 
data(p438):a6(A,ff):-0.2005059461072216 
data(p438):a7(A,ff):-0.20976057328333048 
data(p438):a9(A,f):-2.568276702111728 
data(p438):a10(A,f):-0.3408195839364786 
data(p438):a12(A,t):0.02512793205530585 
data(p438):a13(A,s):-0.055298423542051355 
data(p663):a2(A,1):0.36893649435101933 
data(p663):a3(A,1):-1.5726856522206936 
data(p663):a8(A,1):-1.834755591262081 
data(p663):a11(A,0):-0.47804335853481694 
data(p663):a14(A,1):-1.027187961517609 
data(p663):a15(A,0):-0.8180816092813944 
data(p663):a1(A,a):0.7610066264756714 
data(p663):a4(A,u):-0.6151178964063412 
data(p663):a5(A,g):-0.3142504215144808 
data(p663):a6(A,w):1.8994131230097278 
data(p663):a7(A,v):-0.14718959607542043 
data(p663):a9(A,f):-2.9640320252501597 
data(p663):a10(A,f):-0.4744639637761702 
data(p663):a12(A,t):-0.10834841936956431 
data(p663):a13(A,g):-0.181089184835512 
data(p518):a2(A,0):-0.9988416780873394 
data(p518):a3(A,0):0.3958116094400565 
data(p518):a8(A,2):1.8124000454990616 
data(p518):a11(A,1):1.1282417253229744 
data(p518):a14(A,3):0.7345983561824773 
data(p518):a15(A,2):1.9048282490948365 
data(p518):a1(A,b):0.7382904331065802 
data(p518):a4(A,u):-0.2817168547923213 
data(p518):a5(A,g):-0.09256662035296741 
data(p518):a6(A,c):0.804571839859217 
data(p518):a7(A,v):0.13803030297206112 
data(p518):a9(A,t):1.3294001276894605 
data(p518):a10(A,t):-0.5488359300715805 
data(p518):a12(A,t):-0.2524737756753709 
data(p518):a13(A,g):-0.04068497432604034 
data(p103):a2(A,0):-0.275930993658138 
data(p103):a3(A,2):0.06655345289154276 
data(p103):a8(A,1):-1.981568019446436 
data(p103):a11(A,0):-0.3817641307668472 
data(p103):a14(A,0):0.6098616667942207 
data(p103):a15(A,1):-1.0925482313865638 
data(p103):a1(A,b):0.35288283299506584 
data(p103):a4(A,u):-0.05774146322609031 
data(p103):a5(A,g):-0.05269145365376323 
data(p103):a6(A,q):-1.6154080894613525 
data(p103):a7(A,v):-0.14465365051083992 
data(p103):a9(A,t):1.654490295166954 
data(p103):a10(A,t):-0.5106650481669051 
data(p103):a12(A,f):-0.164229870984799 
data(p103):a13(A,g):-0.09062571593394991 
data(p53):a2(A,2):-0.01862730966454611 
data(p53):a3(A,1):-0.7008105330127834 
data(p53):a8(A,0):1.678877573134371 
data(p53):a11(A,0):-0.34656697502614153 
data(p53):a14(A,3):2.053627820195408 
data(p53):a15(A,2):2.4307230356784904 
data(p53):a1(A,b):0.7118013962722557 
data(p53):a4(A,u):-0.36716475708517726 
data(p53):a5(A,g):-0.19207682640445362 
data(p53):a6(A,w):1.9423884332053185 
data(p53):a7(A,v):1.2135318202717649 
data(p53):a9(A,t):1.5634945590029525 
data(p53):a10(A,f):-0.6022532051635373 
data(p53):a12(A,t):0.40693584938567 
data(p53):a13(A,g):-0.06632297141951618 
data(p454):a2(A,2):-0.29664789480962095 
data(p454):a3(A,0):0.09642269923200886 
data(p454):a8(A,1):-2.0157148771990605 
data(p454):a11(A,0):-0.39336755236605087 
data(p454):a14(A,3):0.9018744526369886 
data(p454):a15(A,0):-1.7715024292335597 
data(p454):a4(A,u):-0.6986924125389767 
data(p454):a5(A,g):-0.3224540151784961 
data(p454):a6(A,w):1.639202950161869 
data(p454):a7(A,v):0.04808074192262999 
data(p454):a9(A,f):-2.4366014281426844 
data(p454):a10(A,f):-0.1529125042165997 
data(p454):a12(A,t):-0.14096809546742786 
data(p454):a13(A,g):-0.14971214535148406 
data(p335):a2(A,2):-1.6740985533640604 
data(p335):a3(A,1):-0.37126837417065267 
data(p335):a8(A,1):-1.9084456696083723 
data(p335):a11(A,0):-0.4003214529610296 
data(p335):a14(A,3):1.056433529299269 
data(p335):a15(A,0):-0.948750987186417 
data(p335):a1(A,b):0.6187893925822978 
data(p335):a4(A,u):-0.3819217957459485 
data(p335):a5(A,g):-0.22215740935220402 
data(p335):a6(A,cc):1.3556288236698875 
data(p335):a7(A,bb):0.2740281900012977 
data(p335):a9(A,f):-1.9402431965772453 
data(p335):a10(A,f):-0.12087102241631087 
data(p335):a12(A,f):0.4862064232176675 
data(p335):a13(A,g):-0.1976173452304468 
data(p342):a2(A,3):-0.19445532945791794 
data(p342):a3(A,2):-0.4597963794224705 
data(p342):a8(A,0):0.043444543039886006 
data(p342):a11(A,0):-0.41229333594769163 
data(p342):a14(A,1):-1.1153621060291514 
data(p342):a15(A,1):-0.2048514609285568 
data(p342):a1(A,b):0.39908737807056666 
data(p342):a4(A,u):-0.0724593105842148 
data(p342):a5(A,g):-0.1303075067897186 
data(p342):a6(A,aa):-0.09696798561767184 
data(p342):a7(A,v):0.7198233947394312 
data(p342):a9(A,f):-3.38832269335144 
data(p342):a10(A,f):0.0591401931268556 
data(p342):a12(A,f):-0.01975286912437779 
data(p342):a13(A,g):-0.12933499085342706 
data(p98):a2(A,2):-1.292500500865113 
data(p98):a3(A,0):0.24020351025233738 
data(p98):a8(A,1):-1.8736317182012867 
data(p98):a11(A,0):-0.40791568992533617 
data(p98):a14(A,3):0.25360666569038876 
data(p98):a15(A,0):-1.6284150516267242 
data(p98):a1(A,b):0.5558029176916479 
data(p98):a4(A,u):-0.606804316685681 
data(p98):a5(A,g):-0.2950515737087161 
data(p98):a6(A,c):0.6936575852431633 
data(p98):a7(A,bb):-0.061682377855541724 
data(p98):a9(A,t):0.7691080633403754 
data(p98):a10(A,f):-0.8610155769962025 
data(p98):a12(A,t):-0.0425637998531215 
data(p98):a13(A,s):-0.26891834362125355 
data(p483):a2(A,0):-0.3578784180255274 
data(p483):a3(A,3):0.11792218986578279 
data(p483):a8(A,2):0.8955465752809882 
data(p483):a11(A,1):1.1090682968237326 
data(p483):a14(A,0):0.35864961509569554 
data(p483):a15(A,1):-0.5513998355531392 
data(p483):a1(A,a):1.11506659069405 
data(p483):a4(A,u):-0.40297618339915836 
data(p483):a5(A,g):-0.1655866201062064 
data(p483):a6(A,aa):0.0447641456803281 
data(p483):a7(A,v):-0.11727562978546577 
data(p483):a9(A,f):-3.6462109966190166 
data(p483):a10(A,t):-0.481059457015206 
data(p483):a12(A,t):0.05810697152374382 
data(p483):a13(A,g):-0.13461572294144294 
data(p129):a2(A,2):-0.6989870791076358 
data(p129):a3(A,2):-0.3662755899273103 
data(p129):a8(A,3):2.2319328265040554 
data(p129):a11(A,0):-0.457547452653295 
data(p129):a14(A,3):-0.4471728865597491 
data(p129):a15(A,2):1.8364195887019112 
data(p129):a1(A,b):0.3326503672999911 
data(p129):a4(A,u):-0.130815472365663 
data(p129):a5(A,g):-0.16306212447024052 
data(p129):a6(A,i):-0.45059920829315714 
data(p129):a7(A,bb):-0.03425538223694459 
data(p129):a9(A,t):1.6876334359776801 
data(p129):a10(A,t):-0.12216034530344616 
data(p129):a12(A,f):0.44036784949782165 
data(p129):a13(A,g):-0.1460869129321121 
data(p178):a2(A,1):0.39345601278635595 
data(p178):a3(A,3):0.12470862755907577 
data(p178):a8(A,2):0.14376275415957115 
data(p178):a11(A,0):-0.38143148562602175 
data(p178):a14(A,1):-0.3810670421063103 
data(p178):a15(A,1):0.4266958753870917 
data(p178):a1(A,a):1.2336448351614817 
data(p178):a4(A,u):-0.23246475902789931 
data(p178):a5(A,g):-0.19727718719412524 
data(p178):a6(A,aa):-0.1365528217279584 
data(p178):a7(A,v):0.5065752194438341 
data(p178):a9(A,t):1.425219887312704 
data(p178):a10(A,f):-0.7701901408080858 
data(p178):a12(A,f):0.5913439634676462 
data(p178):a13(A,g):-0.10614599969315758 
data(p111):a2(A,2):-0.4153613997139037 
data(p111):a3(A,2):0.5428549660962086 
data(p111):a8(A,3):0.06786707660784182 
data(p111):a11(A,0):-0.535531825004884 
data(p111):a14(A,3):-1.1563401262154827 
data(p111):a15(A,0):-1.9575813074192077 
data(p111):a1(A,b):0.45817887649916855 
data(p111):a4(A,u):-0.4096006303360319 
data(p111):a5(A,g):-0.2181596673229919 
data(p111):a6(A,w):1.1749965860128346 
data(p111):a7(A,v):0.4148294965190719 
data(p111):a9(A,t):1.425259598183465 
data(p111):a10(A,t):-0.2998043233658861 
data(p111):a12(A,t):-0.11583334473813893 
data(p111):a13(A,g):-0.16572468328209503 
data(p659):a2(A,0):-0.5975713881186995 
data(p659):a3(A,0):1.7390747344966861 
data(p659):a8(A,1):-1.8343245047702357 
data(p659):a11(A,0):-0.29715068319245114 
data(p659):a14(A,1):-0.7589102605932625 
data(p659):a15(A,1):0.25014737511519275 
data(p659):a1(A,a):1.420708430019974 
data(p659):a4(A,u):-0.18808470700131408 
data(p659):a5(A,g):-0.11559584589606318 
data(p659):a6(A,c):0.8660435768457975 
data(p659):a7(A,v):-0.4096053715800565 
data(p659):a9(A,f):-2.6388454284199883 
data(p659):a10(A,f):-0.19086374667423056 
data(p659):a12(A,f):1.1172864063596444 
data(p659):a13(A,g):-0.07841797357513554 
data(p426):a2(A,1):1.478732039725145 
data(p426):a3(A,1):-1.0299822488037658 
data(p426):a8(A,1):-2.194375152038011 
data(p426):a11(A,0):-0.4677630905325183 
data(p426):a14(A,1):-0.9406636656479335 
data(p426):a15(A,0):-0.18404121388249095 
data(p426):a1(A,b):0.7421212025410824 
data(p426):a4(A,u):-0.28817580156047495 
data(p426):a5(A,g):-0.12650474356868247 
data(p426):a6(A,c):1.1271174483804607 
data(p426):a7(A,v):-0.2778805636457189 
data(p426):a9(A,f):-2.678701866381965 
data(p426):a10(A,f):-0.1704005021811706 
data(p426):a12(A,f):0.8188194205149183 
data(p426):a13(A,g):-0.11991342112451958 
data(p658):a2(A,3):0.18424894136400297 
data(p658):a3(A,1):-1.4969500560315698 
data(p658):a8(A,1):-1.56779174104792 
data(p658):a11(A,0):-0.4005626971712197 
data(p658):a14(A,0):-0.7847350516819869 
data(p658):a15(A,1):-0.14901976928508562 
data(p658):a1(A,a):1.7425639518577491 
data(p658):a4(A,u):-0.21705004750943777 
data(p658):a5(A,g):-0.16825919751973567 
data(p658):a6(A,aa):-0.05883101681044454 
data(p658):a7(A,v):0.29136394938841026 
data(p658):a9(A,f):-3.1276811329903316 
data(p658):a10(A,f):-0.44610580310756054 
data(p658):a12(A,f):0.6600969967819004 
data(p658):a13(A,g):-0.12009288549769122 
data(p561):a2(A,1):0.21285613862228084 
data(p561):a3(A,3):-0.13272266794254708 
data(p561):a8(A,3):1.7684307607581644 
data(p561):a11(A,1):1.0304191924337773 
data(p561):a14(A,3):-0.6145955644375093 
data(p561):a15(A,2):1.3408875711051482 
data(p561):a1(A,a):1.0367424255220066 
data(p561):a4(A,u):-0.2714789889312552 
data(p561):a5(A,g):-0.20145868171854195 
data(p561):a6(A,cc):1.0111010931763864 
data(p561):a7(A,h):1.0364891108766467 
data(p561):a9(A,t):1.6984629722064983 
data(p561):a10(A,t):-0.09333869792718338 
data(p561):a12(A,f):0.6799979863265644 
data(p561):a13(A,g):-0.1447660197708699 
data(p143):a2(A,3):-0.3608625040405973 
data(p143):a3(A,0):1.469672429955668 
data(p143):a8(A,2):0.7034900943993859 
data(p143):a11(A,1):1.2740543705459038 
data(p143):a14(A,1):-1.0499940983221934 
data(p143):a15(A,1):-0.2997867453274644 
data(p143):a1(A,b):0.25393515297975494 
data(p143):a4(A,y):-1.4405260482656408 
data(p143):a5(A,p):-0.7696160940830344 
data(p143):a6(A,cc):1.0507787845446048 
data(p143):a7(A,h):0.8560718534655357 
data(p143):a9(A,t):1.2328268416842534 
data(p143):a10(A,t):0.17876986114811372 
data(p143):a12(A,f):0.235389312638256 
data(p143):a13(A,g):-0.08423881297937928 
data(p554):a2(A,3):-0.3042815007771186 
data(p554):a3(A,2):0.008699676729643384 
data(p554):a8(A,3):1.2422416003710421 
data(p554):a11(A,1):1.4285881171856074 
data(p554):a14(A,3):-0.3309643549607178 
data(p554):a15(A,2):1.9858873024928045 
data(p554):a1(A,b):0.3839573306932685 
data(p554):a4(A,u):-0.08096073194306827 
data(p554):a5(A,g):-0.1258629298501944 
data(p554):a6(A,w):1.5096222979238068 
data(p554):a7(A,v):0.4875592233266014 
data(p554):a9(A,t):1.848086254252474 
data(p554):a10(A,t):-0.15345222700105654 
data(p554):a12(A,f):0.44113395381031417 
data(p554):a13(A,g):-0.09092279739545399 
data(p7):a2(A,2):-0.8366456627897907 
data(p7):a3(A,1):-0.6951718361722893 
data(p7):a8(A,3):2.226165621695467 
data(p7):a11(A,0):-0.37801202651498306 
data(p7):a14(A,2):-0.6517782432459074 
data(p7):a15(A,2):2.3252818601830785 
data(p7):a1(A,b):0.7266317468172688 
data(p7):a4(A,u):-0.15488755064504647 
data(p7):a5(A,g):-0.15182839679981885 
data(p7):a6(A,r):0.0 
data(p7):a7(A,h):1.4699885953229845 
data(p7):a9(A,t):1.1920529148281052 
data(p7):a10(A,f):-1.1761388189899682 
data(p7):a12(A,t):-0.1579505060775517 
data(p7):a13(A,g):-0.15076614466033103 
data(p268):a2(A,2):-0.9042332454172133 
data(p268):a3(A,2):-0.09269680681112082 
data(p268):a8(A,2):1.2769126147235044 
data(p268):a11(A,0):-0.4406880694581382 
data(p268):a14(A,2):-0.16512906532195332 
data(p268):a15(A,0):-1.1124143024932516 
data(p268):a1(A,a):1.5157937824340784 
data(p268):a4(A,u):-0.40729460700988934 
data(p268):a5(A,g):-0.24084333285987247 
data(p268):a6(A,d):0.01757566880376124 
data(p268):a7(A,v):0.257271164397898 
data(p268):a9(A,f):-2.703126638246575 
data(p268):a10(A,f):-0.5039803935168182 
data(p268):a12(A,f):0.7825174806691025 
data(p268):a13(A,g):-0.20454978580347138 
data(p593):a2(A,1):1.2786433952382183 
data(p593):a3(A,0):1.0916708282359 
data(p593):a8(A,0):-1.0329799989818509 
data(p593):a11(A,0):-0.3052830919111057 
data(p593):a14(A,2):-1.0639414556866815 
data(p593):a15(A,0):-0.3309043256263593 
data(p593):a1(A,b):0.5057409168408187 
data(p593):a9(A,f):-1.447442417261071 
data(p593):a10(A,f):-0.03341438941458514 
data(p593):a12(A,f):0.10138408037120344 
data(p593):a13(A,p):1.182691144797397 
data(p238):a2(A,0):0.11644929985326531 
data(p238):a3(A,3):-0.944286044013787 
data(p238):a8(A,2):0.8379156445882261 
data(p238):a11(A,0):-0.3551225278081744 
data(p238):a14(A,0):0.5502589316571771 
data(p238):a15(A,2):0.5453816864857686 
data(p238):a1(A,b):0.3648629679414583 
