data(p756):a1(A,f):-0.17670463857288382 
data(p1871):a22(A,f):0.020619339815656022 
data(p1871):a23(A,f):0.1739278853978222 
data(p1871):a24(A,t):-0.04176526591620388 
data(p1871):a25(A,f):0.0 
data(p1871):a26(A,f):-0.040990872125502675 
data(p1871):a27(A,f):0.07255629070200714 
data(p1871):a28(A,f):0.0 
data(p1871):a29(A,f):0.0004229011601465278 
data(p1871):a30(A,f):0.0444611148651811 
data(p1871):a31(A,f):-0.04989595335646267 
data(p1871):a32(A,f):0.1602178397503754 
data(p1871):a33(A,f):1.9257482025882433 
data(p1871):a34(A,f):0.42224823886493407 
data(p1871):a35(A,t):0.3962401802283253 
data(p1871):a36(A,n):-0.029501675832993828 
data(p3120):a1(A,f):-0.14358700367787927 
data(p3120):a2(A,f):-0.019920679987844227 
data(p3120):a3(A,t):-0.795023907401359 
data(p3120):a4(A,f):0.22127945656891704 
data(p3120):a5(A,t):0.1745591477399505 
data(p3120):a6(A,t):0.33571939664538303 
data(p3120):a7(A,t):-1.0335238166456364 
data(p3120):a8(A,f):0.0033846087317625844 
data(p3120):a9(A,f):0.3137446273379723 
data(p3120):a10(A,f):1.6618180818311987 
data(p3120):a11(A,f):-0.12605544299323043 
data(p3120):a12(A,f):0.0036393285135731357 
data(p3120):a13(A,l):-0.03357057409848996 
data(p3120):a14(A,f):0.0027040351111793422 
data(p3120):a15(A,n):-0.005177845896962149 
data(p3120):a16(A,f):0.10615157420421367 
data(p3120):a17(A,f):-0.055221961914412546 
data(p3120):a18(A,f):0.40382291351145444 
data(p3120):a19(A,f):0.0 
data(p3120):a20(A,f):0.054492605663978344 
data(p3120):a21(A,f):-1.5509730098911991 
data(p3120):a22(A,f):0.07522972301475103 
data(p3120):a23(A,f):0.1440263720279747 
data(p3120):a24(A,t):-0.11236630405252258 
data(p3120):a25(A,f):0.0 
data(p3120):a26(A,f):0.11950583057108627 
data(p3120):a27(A,f):0.0823641139749484 
data(p3120):a28(A,f):0.0 
data(p3120):a29(A,f):0.0004229011601465278 
data(p3120):a30(A,f):0.070637167806149 
data(p3120):a31(A,f):-0.13207047535410538 
data(p3120):a32(A,f):0.12346365556695083 
data(p3120):a33(A,t):-2.9846987309135597 
data(p3120):a34(A,f):0.7260786972037068 
data(p3120):a35(A,t):0.1687264009337602 
data(p3120):a36(A,t):-0.08513988711626716 
data(p2767):a1(A,f):-0.2828683486018507 
data(p2767):a2(A,f):-0.06989087602516642 
data(p2767):a3(A,f):0.06390931362907587 
data(p2767):a4(A,f):0.1926376510149346 
data(p2767):a5(A,t):0.10487522343957335 
data(p2767):a6(A,f):-0.5527495452896835 
data(p2767):a7(A,t):-0.5534094722484605 
data(p2767):a8(A,t):-0.027155756243588212 
data(p2767):a9(A,t):-0.1432627958381304 
data(p2767):a10(A,f):1.5836064998920765 
data(p2767):a11(A,f):-0.1620366076763403 
data(p2767):a12(A,f):0.02152616613667737 
data(p2767):a13(A,g):-0.023824955665521824 
data(p2767):a14(A,f):0.00253092892265365 
data(p2767):a15(A,n):0.11066946883275285 
data(p2767):a16(A,f):0.09158566849233328 
data(p2767):a17(A,f):-0.05784123981330261 
data(p2767):a18(A,t):-0.10028300311623198 
data(p2767):a19(A,f):0.0 
data(p2767):a20(A,f):-0.01381533322209913 
data(p2767):a21(A,f):-1.6586745393508777 
data(p2767):a22(A,t):-0.13292303090597296 
data(p2767):a23(A,f):0.19212216916083 
data(p2767):a24(A,f):0.02059670167500242 
data(p2767):a25(A,f):0.0 
data(p2767):a26(A,t):0.03080746122446263 
data(p2767):a27(A,f):0.058696768317236414 
data(p2767):a28(A,f):0.0 
data(p2767):a29(A,f):0.0004229011601465278 
data(p2767):a30(A,f):0.04399977055932427 
data(p2767):a31(A,f):-0.06848961396575898 
data(p2767):a32(A,f):0.13372143855990049 
data(p2767):a33(A,t):-2.965839271633974 
data(p2767):a34(A,t):-0.17028798373251025 
data(p2767):a35(A,t):0.29784191164304963 
data(p2767):a36(A,n):0.08168150972695302 
data(p791):a1(A,f):-0.1834775210138576 
data(p791):a2(A,f):-0.040350083458568796 
data(p791):a3(A,f):0.06710808999263945 
data(p791):a4(A,f):0.2529304139036027 
data(p791):a5(A,f):-0.09983544279929307 
data(p791):a6(A,t):0.3859321771001173 
data(p791):a7(A,f):0.3721820269844276 
data(p791):a8(A,f):0.015669216815327246 
data(p791):a9(A,f):0.2748352381122636 
data(p791):a10(A,f):1.1707768616469485 
data(p791):a11(A,f):-0.35490542071823095 
data(p791):a12(A,t):0.08554764835579363 
data(p791):a13(A,g):-0.14024531785334088 
data(p791):a14(A,f):0.0027554547798432235 
data(p791):a15(A,n):0.05023802352786103 
data(p791):a16(A,f):0.10128330269282905 
data(p791):a17(A,f):-0.050901059684578046 
data(p791):a18(A,t):-0.1232050864682987 
data(p791):a19(A,f):0.0 
data(p791):a20(A,f):0.018370949930228767 
data(p791):a21(A,t):2.94797838025403 
data(p791):a22(A,f):0.050516170925356846 
data(p791):a23(A,f):0.14202345294883292 
data(p791):a24(A,f):0.12978324860820367 
data(p791):a25(A,f):0.0 
data(p791):a26(A,t):-0.00016794481190259925 
data(p791):a27(A,f):0.0674722427797509 
data(p791):a28(A,f):0.0 
data(p791):a29(A,f):0.0004229011601465278 
data(p791):a30(A,f):0.04444573437020227 
data(p791):a31(A,f):-0.030180585262067357 
data(p791):a32(A,f):0.12334332093803954 
data(p791):a33(A,t):-2.3556959431663724 
data(p791):a34(A,t):-0.2595240549834077 
data(p791):a35(A,t):0.1337664676716699 
data(p791):a36(A,n):0.14886897935801682 
data(p1961):a1(A,f):-0.18397634657366488 
data(p1961):a2(A,f):-0.015629552694665996 
data(p1961):a3(A,t):-0.8177809203247459 
data(p1961):a4(A,f):0.2316049781498261 
data(p1961):a5(A,f):-0.1365255418783604 
data(p1961):a6(A,t):0.5594087359142886 
data(p1961):a7(A,f):0.2694894450786735 
data(p1961):a8(A,f):0.035956882101943914 
data(p1961):a9(A,f):0.25314319049117945 
data(p1961):a10(A,f):2.2375173919399227 
data(p1961):a11(A,f):-0.15482760296893777 
data(p1961):a12(A,f):0.0026250709739858873 
data(p1961):a13(A,l):-0.0058926991901600565 
data(p1961):a14(A,f):0.003259533965780327 
data(p1961):a15(A,n):0.02275041083544742 
data(p1961):a16(A,f):0.11126421983938566 
data(p1961):a17(A,f):-0.05337889305217227 
data(p1961):a18(A,f):0.47486276513572745 
data(p1961):a19(A,f):0.0 
data(p1961):a20(A,f):0.1307618581748054 
data(p1961):a21(A,f):-1.320152385817182 
data(p1961):a22(A,f):0.06130004978011194 
data(p1961):a23(A,f):0.16168311979879868 
data(p1961):a24(A,t):-0.015421626463338153 
data(p1961):a25(A,f):0.0 
data(p1961):a26(A,f):0.22353739622971688 
data(p1961):a27(A,f):0.08153113234319341 
data(p1961):a28(A,f):0.0 
data(p1961):a29(A,f):0.0004229011601465278 
data(p1961):a30(A,f):0.06508574738849952 
data(p1961):a31(A,f):-0.14628565639885172 
data(p1961):a32(A,f):0.18124207164674813 
data(p1961):a33(A,f):1.7908265121294022 
data(p1961):a34(A,f):0.33132286118347515 
data(p1961):a35(A,t):0.4109114854304836 
data(p1961):a36(A,t):-0.17835107834064962 
data(p2532):a1(A,f):-0.19901037142302525 
data(p2532):a2(A,f):-0.029362988583044793 
data(p2532):a3(A,f):0.05630045851528615 
data(p2532):a4(A,t):-0.7094953666569871 
data(p2532):a5(A,t):0.14121463108552318 
data(p2532):a6(A,f):0.019563260390641903 
data(p2532):a7(A,t):-0.7395834173270477 
data(p2532):a8(A,t):-0.011323560204015117 
data(p2532):a9(A,t):-0.10494327562915168 
data(p2532):a10(A,t):-2.485472731299782 
data(p2532):a11(A,f):-0.07914810299020418 
data(p2532):a12(A,f):-0.06512325071026787 
data(p2532):a13(A,l):0.04011435495525221 
data(p2532):a14(A,f):0.0023513165349868547 
data(p2532):a15(A,n):-0.00823985203128556 
data(p2532):a16(A,f):0.07955110161106056 
data(p2532):a17(A,f):-0.060084102679554365 
data(p2532):a18(A,f):0.24622463155103175 
data(p2532):a19(A,f):0.0 
data(p2532):a20(A,f):0.06969152358304145 
data(p2532):a21(A,f):-1.9864410013021916 
data(p2532):a22(A,f):0.05748101136103657 
data(p2532):a23(A,f):0.16157138833187262 
data(p2532):a24(A,t):-0.012103988559387739 
data(p2532):a25(A,f):0.0 
data(p2532):a26(A,t):0.02585831893243352 
data(p2532):a27(A,f):0.06926522544583504 
data(p2532):a28(A,f):0.0 
data(p2532):a29(A,f):0.00031856310424634393 
data(p2532):a30(A,f):0.06885339250681254 
data(p2532):a31(A,f):-0.21725919631421828 
data(p2532):a32(A,f):0.11063116054544123 
data(p2532):a33(A,t):-1.8612319683788212 
data(p2532):a34(A,f):0.5493379308089196 
data(p2532):a35(A,t):0.20079911073700468 
data(p2532):a36(A,n):0.0331726676707477 
data(p1273):a1(A,f):-0.6497827109955061 
data(p1273):a2(A,f):-0.08685925838717047 
data(p1273):a3(A,f):0.06240116537591756 
data(p1273):a4(A,f):0.16270283162829308 
data(p1273):a5(A,f):0.10693350024279594 
data(p1273):a6(A,f):-0.5811290808035563 
data(p1273):a7(A,f):0.29179652318071164 
data(p1273):a8(A,f):0.04803578811164851 
data(p1273):a9(A,f):0.21057775227959533 
data(p1273):a10(A,t):-2.502005806465537 
data(p1273):a11(A,t):-0.0004739358878509733 
data(p1273):a12(A,f):-0.06222841991192642 
data(p1273):a13(A,l):0.03871047418995667 
data(p1273):a14(A,f):0.0023617368689712193 
data(p1273):a15(A,b):-3.841570580042818 
data(p1273):a16(A,f):0.07554218470429493 
data(p1273):a17(A,f):-0.0617235808810979 
data(p1273):a18(A,t):-0.3538156618678447 
data(p1273):a19(A,f):0.0 
data(p1273):a20(A,f):0.005864353857184679 
data(p1273):a21(A,f):-2.0277832732633265 
data(p1273):a22(A,f):0.051703253625521986 
data(p1273):a23(A,f):0.13235966622159356 
data(p1273):a24(A,f):-0.08515232781531101 
data(p1273):a25(A,f):0.0 
data(p1273):a26(A,t):-0.0018855328696051456 
data(p1273):a27(A,f):0.051083281605283165 
data(p1273):a28(A,f):0.0 
data(p1273):a29(A,f):0.00031856310424634393 
data(p1273):a30(A,f):0.04290763279080902 
data(p1273):a31(A,t):0.3689702840928267 
data(p1273):a32(A,f):0.10918653924831145 
data(p1273):a33(A,t):-1.508557135014565 
data(p1273):a34(A,t):-0.1383148538505403 
data(p1273):a35(A,t):0.0014813053777480807 
data(p1273):a36(A,n):0.0036017752294915505 
data(p474):a1(A,f):-0.6065497132531423 
data(p474):a2(A,f):-0.0489444591796151 
data(p474):a3(A,f):0.06438033013199991 
data(p474):a4(A,f):0.20827847481666373 
data(p474):a5(A,f):-0.01541372323872143 
data(p474):a6(A,t):1.1990499470749132 
data(p474):a7(A,f):0.04622096260139547 
data(p474):a8(A,f):0.04193319690629215 
data(p474):a9(A,f):0.1289782231192409 
data(p474):a10(A,f):2.1606453557758294 
data(p474):a11(A,t):0.26539095361816134 
data(p474):a12(A,f):-0.03743947692254664 
data(p474):a13(A,g):0.43048592010116565 
data(p474):a14(A,f):0.0032699542997646916 
data(p474):a15(A,b):-3.490932081809686 
data(p474):a16(A,f):0.0922543458716415 
data(p474):a17(A,f):-0.21721781307034743 
data(p474):a18(A,t):-0.16033667885820233 
data(p474):a19(A,f):0.0 
data(p474):a20(A,f):0.027575083537950427 
data(p474):a21(A,f):-1.377374946023571 
data(p474):a22(A,f):0.02825281623235856 
data(p474):a23(A,t):-1.197792181836288 
data(p474):a24(A,f):0.12363253073501218 
data(p474):a25(A,f):0.0 
data(p474):a26(A,t):-0.015883710300681978 
data(p474):a27(A,f):0.05703372490385471 
data(p474):a28(A,f):0.0 
data(p474):a29(A,f):0.0004229011601465278 
data(p474):a30(A,f):0.031400140392039706 
data(p474):a31(A,f):-0.059205982461042486 
data(p474):a32(A,f):0.17771487582378284 
data(p474):a33(A,f):1.9216093965743384 
data(p474):a34(A,t):-0.15594744642009564 
data(p474):a35(A,t):0.11821355806600516 
data(p474):a36(A,n):0.06328175406710827 
data(p2600):a1(A,f):-0.3317814416523348 
data(p2600):a2(A,f):-0.07479111050937977 
data(p2600):a3(A,f):0.06882337833543861 
data(p2600):a4(A,f):0.1763471581173487 
data(p2600):a5(A,t):0.24613051314757725 
data(p2600):a6(A,t):0.585326228371197 
data(p2600):a7(A,f):0.2718964360321319 
data(p2600):a8(A,t):-0.027089820306265198 
data(p2600):a9(A,t):-0.06265298327192215 
data(p2600):a10(A,t):-3.489715649419753 
data(p2600):a11(A,t):0.06442411079782888 
data(p2600):a12(A,f):-0.07976086040760652 
data(p2600):a13(A,l):-0.0804592518628872 
data(p2600):a14(A,f):0.003511760953103224 
data(p2600):a15(A,w):2.54565411282726 
data(p2600):a16(A,f):0.09256985725203958 
data(p2600):a17(A,f):-0.051545594225111915 
data(p2600):a18(A,f):0.6225175866704201 
data(p2600):a19(A,f):0.0 
data(p2600):a20(A,f):0.1344423299941983 
data(p2600):a21(A,f):-1.8401642603999684 
data(p2600):a22(A,f):0.04694167175810431 
data(p2600):a23(A,f):0.11873764758484226 
data(p2600):a24(A,f):0.016468506119892003 
data(p2600):a25(A,f):0.0 
data(p2600):a26(A,t):-0.00497643522851524 
data(p2600):a27(A,f):0.06890567399670518 
data(p2600):a28(A,f):0.0 
data(p2600):a29(A,f):0.0021099815381285174 
data(p2600):a30(A,f):0.05441192155794725 
data(p2600):a31(A,f):-0.1948848014137324 
data(p2600):a32(A,f):0.17543466778153616 
data(p2600):a33(A,f):1.0961242539788933 
data(p2600):a34(A,f):0.18668882791496702 
data(p2600):a35(A,f):-1.0714262707395408 
data(p2600):a36(A,n):0.03587604677107099 
data(p1128):a1(A,f):-0.25971863262131945 
data(p1128):a2(A,f):-0.02409191902405987 
data(p1128):a3(A,f):0.06721631203679237 
data(p1128):a4(A,f):0.22603905527428317 
data(p1128):a5(A,f):-0.05727690171901011 
data(p1128):a6(A,f):-0.4099751619771402 
data(p1128):a7(A,f):0.3737421989850776 
data(p1128):a8(A,f):0.019172373424811533 
data(p1128):a9(A,f):0.21820917656450897 
data(p1128):a10(A,f):1.6351123010385835 
data(p1128):a11(A,f):-0.25918422990521917 
data(p1128):a12(A,f):0.02337370234020535 
data(p1128):a13(A,g):-0.2236728274116418 
data(p1128):a14(A,f):0.002697234750147764 
data(p1128):a15(A,n):0.10588821005627765 
data(p1128):a16(A,f):0.09407654985278101 
data(p1128):a17(A,t):0.740011613776083 
data(p1128):a18(A,t):-0.20513047445754992 
data(p1128):a19(A,f):0.0 
data(p1128):a20(A,f):0.013288737877058192 
data(p1128):a21(A,f):-1.6291419544491812 
data(p1128):a22(A,f):0.05759805375293386 
data(p1128):a23(A,f):0.1566432251135134 
data(p1128):a24(A,t):0.005534691633707647 
data(p1128):a25(A,f):0.0 
data(p1128):a26(A,f):-0.11821025857207434 
data(p1128):a27(A,f):0.06787113676076822 
data(p1128):a28(A,f):0.0 
data(p1128):a29(A,f):0.0004229011601465278 
data(p1128):a30(A,f):0.04735919546625488 
data(p1128):a31(A,f):-0.02345893579476441 
data(p1128):a32(A,f):0.13922570676130439 
data(p1128):a33(A,t):-2.6015488146686496 
data(p1128):a34(A,t):-0.2081162236439766 
data(p1128):a35(A,t):0.3283334460565647 
data(p1128):a36(A,n):-0.05717655665708788 
data(p1560):a1(A,f):-0.23134627730585605 
data(p1560):a2(A,f):-0.04434594294240359 
data(p1560):a3(A,f):0.06713542680216872 
data(p1560):a4(A,f):0.19437879988970527 
data(p1560):a5(A,f):-0.22968448879696993 
data(p1560):a6(A,t):0.43789990346179003 
data(p1560):a7(A,f):0.09881955048843429 
data(p1560):a8(A,f):0.05965115941935457 
data(p1560):a9(A,f):0.20639050139425366 
data(p1560):a10(A,t):-3.4852796480276207 
data(p1560):a11(A,f):-0.21761210550635632 
data(p1560):a12(A,f):0.029755688697214865 
data(p1560):a13(A,l):-0.023440503431221685 
data(p1560):a14(A,f):0.0030156983144611527 
data(p1560):a15(A,n):0.0761472740945525 
data(p1560):a16(A,f):0.09274805698075225 
data(p1560):a17(A,f):-0.05528255042789774 
data(p1560):a18(A,t):-0.11874646256691494 
data(p1560):a19(A,f):0.0 
data(p1560):a20(A,f):0.02623194408900345 
data(p1560):a21(A,f):-1.873907819068416 
data(p1560):a22(A,f):0.04889373336864516 
data(p1560):a23(A,f):0.16754588450331942 
data(p1560):a24(A,f):-0.04509057355527866 
data(p1560):a25(A,f):0.0 
data(p1560):a26(A,f):0.23349357762984665 
data(p1560):a27(A,f):0.05232507027665924 
data(p1560):a28(A,f):0.0 
data(p1560):a29(A,f):0.00031856310424634393 
data(p1560):a30(A,f):0.03568875878671717 
data(p1560):a31(A,f):-0.03460594571241106 
data(p1560):a32(A,f):0.1609131832608939 
data(p1560):a33(A,f):1.6860076684253378 
data(p1560):a34(A,t):-0.05153475268904094 
data(p1560):a35(A,t):0.2599425837606307 
data(p1560):a36(A,t):-0.1620325371562474 
data(p428):a1(A,f):-0.34452792710695157 
data(p428):a2(A,f):-0.021633560331592874 
data(p428):a3(A,f):0.06979906667404304 
data(p428):a4(A,f):0.23171729613411263 
data(p428):a5(A,f):0.037980765419686355 
data(p428):a6(A,t):0.7964460706388486 
data(p428):a7(A,f):-0.0016714009272763156 
data(p428):a8(A,f):0.051856567148104056 
data(p428):a9(A,t):0.05183852137012051 
data(p428):a10(A,f):2.2377113445201937 
data(p428):a11(A,t):0.3177853702775393 
data(p428):a12(A,f):0.027203653327245076 
data(p428):a13(A,g):0.2681389440452064 
data(p428):a14(A,f):0.0032624611054206227 
data(p428):a15(A,n):0.10028728179299252 
data(p428):a16(A,f):0.10744571836934412 
data(p428):a17(A,f):-0.05072234968651295 
data(p428):a18(A,t):-0.09030890463537537 
data(p428):a19(A,f):0.0 
data(p428):a20(A,f):0.02328436702475769 
data(p428):a21(A,f):-1.363437551146139 
data(p428):a22(A,t):0.03601568593614496 
data(p428):a23(A,f):0.16198955615503666 
data(p428):a24(A,t):-0.02379852591460721 
data(p428):a25(A,f):0.0 
data(p428):a26(A,t):0.00038520612139217585 
data(p428):a27(A,f):0.06150972122072555 
data(p428):a28(A,f):0.0 
data(p428):a29(A,f):0.0004229011601465278 
data(p428):a30(A,f):0.03442437278221423 
data(p428):a31(A,f):0.006726434417224918 
data(p428):a32(A,f):0.1908897931318789 
data(p428):a33(A,f):2.328250047041234 
data(p428):a34(A,t):-0.10607505239928465 
data(p428):a35(A,t):0.3908326339499209 
data(p428):a36(A,n):0.05225886959288298 
data(p3108):a1(A,f):-0.14511916988789333 
data(p3108):a2(A,t):0.18588231519214884 
data(p3108):a3(A,f):0.07075481941978354 
data(p3108):a4(A,f):0.24805542981918072 
data(p3108):a5(A,f):-0.22323701166342136 
data(p3108):a6(A,t):0.2770190249723068 
data(p3108):a7(A,f):0.5259881597349061 
data(p3108):a8(A,f):0.016442716336541343 
data(p3108):a9(A,f):0.3257593423587403 
data(p3108):a10(A,f):1.7025740846024886 
data(p3108):a11(A,f):-0.03180534257365397 
data(p3108):a12(A,f):0.025910728589304245 
data(p3108):a13(A,l):0.022033322101462284 
data(p3108):a14(A,f):0.0028721128854296554 
data(p3108):a15(A,n):9.883210625120584e-05 
data(p3108):a16(A,t):-1.163765586668782 
data(p3108):a17(A,f):-0.05776658604555295 
data(p3108):a18(A,t):-0.08416043065447999 
data(p3108):a19(A,f):0.0 
data(p3108):a20(A,f):0.026351643440262577 
data(p3108):a21(A,f):-1.570818981076737 
data(p3108):a22(A,f):0.0496575506149461 
data(p3108):a23(A,f):0.150990749043758 
data(p3108):a24(A,f):0.22645051630777016 
data(p3108):a25(A,f):0.0 
data(p3108):a26(A,f):-0.23640126638161316 
data(p3108):a27(A,f):0.07692109724095411 
data(p3108):a28(A,f):0.0 
data(p3108):a29(A,f):0.0004229011601465278 
data(p3108):a30(A,f):0.05250309562301516 
data(p3108):a31(A,f):-0.09290928871586372 
data(p3108):a32(A,f):0.11784862151972235 
data(p3108):a33(A,t):-2.6034994005536536 
data(p3108):a34(A,f):0.7438734643301539 
data(p3108):a35(A,t):0.2101665575525806 
data(p3108):a36(A,t):-0.24986081966884163 
data(p1061):a1(A,f):-0.4040266505562777 
data(p1061):a2(A,f):-0.12244300515685795 
data(p1061):a3(A,f):0.06143412065358278 
data(p1061):a4(A,f):0.21053508315432692 
data(p1061):a5(A,f):-0.12839107696377408 
data(p1061):a6(A,f):-1.4697065358068235 
data(p1061):a7(A,f):-0.01804996027275449 
data(p1061):a8(A,f):0.01747606135901152 
data(p1061):a9(A,f):0.2175925366762608 
data(p1061):a10(A,f):1.7492750271047612 
data(p1061):a11(A,f):-0.39950749269882335 
data(p1061):a12(A,f):-0.0162226675199355 
data(p1061):a13(A,g):-0.13664666447355106 
data(p1061):a14(A,f):0.0033539497930422956 
data(p1061):a15(A,n):-0.18590988826988533 
data(p1061):a16(A,f):0.0918962520969888 
data(p1061):a17(A,f):-0.05817688569669807 
data(p1061):a18(A,t):-0.21148236656823166 
data(p1061):a19(A,f):0.0 
data(p1061):a20(A,f):-0.003508512258627773 
data(p1061):a21(A,f):-1.5068435352051117 
data(p1061):a22(A,f):0.021355621674122936 
data(p1061):a23(A,f):0.19013752752796287 
data(p1061):a24(A,t):-0.06368521963778218 
data(p1061):a25(A,f):0.0 
data(p1061):a26(A,t):-0.09651665819076748 
data(p1061):a27(A,f):0.04901413587322605 
data(p1061):a28(A,f):0.0 
data(p1061):a29(A,f):0.0004229011601465278 
data(p1061):a30(A,f):0.034795180152942896 
data(p1061):a31(A,f):-0.050609360205089673 
data(p1061):a32(A,t):-1.5030077173860592 
data(p1061):a33(A,f):1.0075578812851287 
data(p1061):a34(A,t):-0.09283648876546323 
data(p1061):a35(A,f):-3.3361569008036613 
data(p1061):a36(A,n):0.023796827348558657 
data(p1922):a1(A,f):-0.2645474738555064 
data(p1922):a2(A,f):-0.01673214154443855 
data(p1922):a3(A,f):0.06770271021553712 
data(p1922):a4(A,f):0.21008401519058043 
data(p1922):a5(A,t):0.22135942248426752 
data(p1922):a6(A,t):0.6296221502998706 
data(p1922):a7(A,t):-0.29628982608929905 
data(p1922):a8(A,t):-0.03983407005415062 
data(p1922):a9(A,t):0.01118890095056618 
data(p1922):a10(A,f):2.2118975177534597 
data(p1922):a11(A,f):-0.32334699051935795 
data(p1922):a12(A,f):0.07508275574536963 
data(p1922):a13(A,g):0.0061868333954198705 
data(p1922):a14(A,f):0.0032624611054206227 
data(p1922):a15(A,n):0.14786293022785815 
data(p1922):a16(A,f):0.10564472910253993 
data(p1922):a17(A,f):-0.051320976353480374 
data(p1922):a18(A,t):-0.009865095030068901 
data(p1922):a19(A,f):0.0 
data(p1922):a20(A,f):-0.0048172375707533155 
data(p1922):a21(A,f):-1.3629847336651908 
data(p1922):a22(A,f):0.025090060005015704 
data(p1922):a23(A,f):0.16603655842341597 
data(p1922):a24(A,t):-0.058473891247258436 
data(p1922):a25(A,f):0.0 
data(p1922):a26(A,t):-0.1242879950688936 
data(p1922):a27(A,f):0.06315083534420753 
data(p1922):a28(A,f):0.0 
data(p1922):a29(A,f):0.0004229011601465278 
data(p1922):a30(A,f):0.035825106960445385 
data(p1922):a31(A,f):0.030332506680896286 
data(p1922):a32(A,f):0.18390985005730984 
data(p1922):a33(A,f):2.587816623050521 
data(p1922):a34(A,t):-0.1035093442483961 
data(p1922):a35(A,t):0.37847373450526595 
data(p1922):a36(A,t):-0.19803646411319215 
data(p1715):a1(A,f):-0.30630347986080503 
data(p1715):a2(A,f):-0.0867161453231206 
data(p1715):a3(A,f):0.06804609876800584 
data(p1715):a4(A,f):0.18148491978136808 
data(p1715):a5(A,t):0.04399803703193798 
data(p1715):a6(A,f):-1.095603528470473 
data(p1715):a7(A,t):-0.3488819511990388 
data(p1715):a8(A,f):0.04140634619859709 
data(p1715):a9(A,f):0.12519306259076401 
data(p1715):a10(A,f):2.0555255281594587 
data(p1715):a11(A,t):-0.15723007668154537 
data(p1715):a12(A,f):-0.04314776459458604 
data(p1715):a13(A,l):-0.01961199445459085 
data(p1715):a14(A,f):0.0028531373565356386 
data(p1715):a15(A,w):2.6101756425106815 
data(p1715):a16(A,f):0.09330304878310967 
data(p1715):a17(A,f):-0.05422070599690648 
data(p1715):a18(A,f):0.6141181059226123 
data(p1715):a19(A,f):0.0 
data(p1715):a20(A,t):-0.2826585173223683 
data(p1715):a21(A,f):-1.3244142530807128 
data(p1715):a22(A,f):0.03479194035178307 
data(p1715):a23(A,f):0.16175046386483846 
data(p1715):a24(A,f):-0.04473853733379194 
data(p1715):a25(A,f):0.0 
data(p1715):a26(A,t):0.033010781028584874 
data(p1715):a27(A,f):0.07280625631145461 
data(p1715):a28(A,f):0.0 
data(p1715):a29(A,f):0.003747009656562437 
data(p1715):a30(A,f):0.05505148844748845 
data(p1715):a31(A,t):0.39860692398610936 
data(p1715):a32(A,f):0.19315905995365046 
data(p1715):a33(A,f):1.6284530332521034 
data(p1715):a34(A,f):-0.08899758259239376 
data(p1715):a35(A,t):0.11912258210618802 
data(p1715):a36(A,n):0.0623671132698013 
data(p491):a1(A,f):-0.33849525514857703 
data(p491):a2(A,f):-0.05948781580183611 
data(p491):a3(A,f):0.06564647697135571 
data(p491):a4(A,f):0.1795054299585374 
data(p491):a5(A,t):0.28880605598948283 
data(p491):a6(A,f):-1.0859676416237636 
data(p491):a7(A,t):-0.32879506831651517 
data(p491):a8(A,t):-0.03983407005415062 
data(p491):a9(A,t):-0.06157396292725802 
data(p491):a10(A,f):2.0883003109128224 
data(p491):a11(A,f):-0.09279729696137592 
data(p491):a12(A,f):0.03191822192764517 
data(p491):a13(A,g):0.12012436151631713 
data(p491):a14(A,f):0.0029615512979343354 
data(p491):a15(A,n):0.1589949077779281 
data(p491):a16(A,f):0.09605759807666846 
data(p491):a17(A,f):-0.0557491618741201 
data(p491):a18(A,t):-0.10883391852152038 
data(p491):a19(A,f):0.0 
data(p491):a20(A,f):0.013061180733770071 
data(p491):a21(A,f):-1.3987526495528295 
data(p491):a22(A,f):0.032906782260256326 
data(p491):a23(A,f):0.21404241678270663 
data(p491):a24(A,f):0.08428972997746319 
data(p491):a25(A,f):0.0 
data(p491):a26(A,f):0.4359810906387704 
data(p491):a27(A,f):0.05815713613562026 
data(p491):a28(A,f):0.0 
data(p491):a29(A,f):0.0004229011601465278 
data(p491):a30(A,f):0.03498759789336015 
data(p491):a31(A,f):-0.04035639922767188 
data(p491):a32(A,f):0.18549776437815257 
data(p491):a33(A,f):2.2874302530956414 
data(p491):a34(A,t):-0.05368651895935306 
data(p491):a35(A,t):0.46887369662464484 
data(p491):a36(A,n):-0.0854904749305677 
data(p2836):a1(A,t):0.7711637117741895 
data(p2836):a2(A,f):-0.1402948990766147 
data(p2836):a3(A,f):0.06875823955469729 
data(p2836):a4(A,f):0.2078490445880021 
data(p2836):a5(A,f):-0.13590249613774985 
data(p2836):a6(A,f):-0.8526868218317455 
data(p2836):a7(A,f):0.08436286747203992 
data(p2836):a8(A,f):0.020696842684014678 
data(p2836):a9(A,f):0.23161324661020347 
data(p2836):a10(A,f):1.7021899615808835 
data(p2836):a11(A,f):-0.9028912079537645 
data(p2836):a12(A,f):-0.05919130337184503 
data(p2836):a13(A,l):0.08673396191581514 
data(p2836):a14(A,f):0.009319304604306746 
data(p2836):a15(A,w):1.8838997670636102 
data(p2836):a16(A,f):0.09062193239467432 
data(p2836):a17(A,f):-0.056839136903671886 
data(p2836):a18(A,t):-0.3514500264225833 
data(p2836):a19(A,f):0.0 
data(p2836):a20(A,f):-0.06332678660161506 
data(p2836):a21(A,f):-1.4274809489140075 
data(p2836):a22(A,f):0.015224046722229535 
data(p2836):a23(A,f):0.17944630660360808 
