data(p1365):buying(A,low):2.90348633382185 
data(p644):persons(A,more):2.70929069188167 
data(p644):lugboot(A,med):0.8498141823299398 
data(p644):safety(A,med):1.6912260477619452 
data(p1052):buying(A,med):1.381242610419206 
data(p1052):maint(A,high):-1.332239749949884 
data(p1052):doors(A,4):0.3463245247953006 
data(p1052):persons(A,more):2.7014662609400695 
data(p1052):lugboot(A,big):1.4261593301205422 
data(p1052):safety(A,med):2.582435370076029 
data(p1050):buying(A,med):1.3172686464092884 
data(p1050):maint(A,high):-1.2014239609982515 
data(p1050):doors(A,4):0.3692248684486917 
data(p1050):persons(A,more):2.736150157010629 
data(p1050):lugboot(A,med):0.6150412186027232 
data(p1050):safety(A,high):3.4526602734426746 
data(p262):buying(A,vhigh):-1.5164007375195767 
data(p262):maint(A,med):1.8591627851251764 
data(p262):doors(A,3):0.4064013386756818 
data(p262):persons(A,more):2.1085722484251166 
data(p262):lugboot(A,small):-1.6754755757972881 
data(p262):safety(A,low):-3.9766116388820874 
data(p1089):buying(A,med):1.3433124104847456 
data(p1089):maint(A,med):0.8071555005027915 
data(p1089):doors(A,2):-0.8136939581054626 
data(p1089):persons(A,2):-5.009971545628082 
data(p1089):lugboot(A,big):1.0753950810264215 
data(p1089):safety(A,high):2.929543886040419 
data(p7):buying(A,vhigh):-1.809459124166662 
data(p7):maint(A,vhigh):-1.9458208986816552 
data(p7):doors(A,2):-0.34856188106894104 
data(p7):persons(A,2):-2.829657196266932 
data(p7):lugboot(A,big):1.6783567645708566 
data(p7):safety(A,low):-2.619382934828399 
data(p540):buying(A,high):-1.6567368414745567 
data(p540):maint(A,vhigh):-4.007250106777578 
data(p540):doors(A,morethanfive):0.26200828443338114 
data(p540):persons(A,more):2.3680377801147867 
data(p540):lugboot(A,big):0.7016684574981263 
data(p540):safety(A,high):3.1026162639815626 
data(p1220):buying(A,med):1.592911734622903 
data(p1220):maint(A,low):1.4141442599725205 
data(p1220):doors(A,3):-0.47964846614520795 
data(p1220):persons(A,2):-4.889867962154355 
data(p1220):lugboot(A,med):0.10468273791138558 
data(p1220):safety(A,med):1.795574944223578 
data(p637):buying(A,high):-0.2021241542364537 
data(p637):maint(A,high):0.04832944031782782 
data(p637):doors(A,morethanfive):0.4444811720104809 
data(p637):persons(A,4):2.2640784194861525 
data(p637):lugboot(A,big):1.0425442325760061 
data(p637):safety(A,low):-4.581188527046117 
data(p255):buying(A,vhigh):-2.2604233156387896 
data(p255):maint(A,med):1.9586528031293113 
data(p255):doors(A,3):-0.12007389281313303 
data(p255):persons(A,4):2.5126003249850997 
data(p255):lugboot(A,small):-0.7139055925530173 
data(p255):safety(A,high):4.708989568075029 
data(p1561):buying(A,low):1.7567596143821684 
data(p1561):maint(A,med):0.9423484335068207 
data(p1561):doors(A,3):0.03805976319785938 
data(p1561):persons(A,more):2.9722132352451833 
data(p1561):lugboot(A,med):0.557806749371365 
data(p1561):safety(A,low):-4.8312358321673905 
data(p830):buying(A,high):-1.6769163416391581 
data(p830):maint(A,low):1.4234673406421765 
data(p830):doors(A,4):0.5066846222357956 
data(p830):persons(A,more):2.030785973799224 
data(p830):lugboot(A,small):-2.7328715117781393 
data(p830):safety(A,med):1.1680199627811476 
data(p102):buying(A,vhigh):-2.7773881564738954 
data(p102):maint(A,vhigh):-3.0700886858297327 
data(p102):doors(A,morethanfive):0.373972873651998 
data(p102):persons(A,more):1.8171172103830866 
data(p102):lugboot(A,small):-1.2627482516697983 
data(p102):safety(A,high):4.110772767940877 
data(p1010):buying(A,med):1.5528551307047656 
data(p1010):maint(A,high):-1.436328303460789 
data(p1010):doors(A,3):-0.45741675788174946 
data(p1010):persons(A,4):2.1734850453505916 
data(p1010):lugboot(A,small):-1.7386320918200653 
data(p1010):safety(A,med):1.048876712231259 
data(p901):buying(A,med):2.584420491554792 
data(p901):maint(A,vhigh):-2.1295756663496603 
data(p901):doors(A,3):-0.2285909048663373 
data(p901):persons(A,4):2.070437212943926 
data(p901):lugboot(A,small):-0.8521836774814426 
data(p901):safety(A,low):-4.024397285415973 
data(p1196):buying(A,med):1.6430852518105887 
data(p1196):maint(A,low):1.2053605077393428 
data(p1196):doors(A,2):-1.157661593284451 
data(p1196):persons(A,2):-4.942538521698627 
data(p1196):lugboot(A,big):1.9209981048198828 
data(p1196):safety(A,med):2.102731160717199 
data(p395):buying(A,vhigh):-2.4864781572238885 
data(p395):maint(A,low):2.2874742768036267 
data(p395):doors(A,4):0.44542607071557583 
data(p395):persons(A,4):2.4727379636488886 
data(p395):lugboot(A,big):1.5570996629760803 
data(p395):safety(A,med):2.1330045352879354 
data(p1682):buying(A,low):1.735465944837429 
data(p1682):maint(A,low):0.989643195626946 
data(p1682):doors(A,4):0.4114254497704163 
data(p1682):persons(A,2):-5.114323601611796 
data(p1682):lugboot(A,big):1.1897608980936139 
data(p1682):safety(A,med):2.6350675456563897 
data(p1040):buying(A,med):1.3043930799868686 
data(p1040):maint(A,high):-1.3489480014934776 
data(p1040):doors(A,4):0.8911146240324356 
data(p1040):persons(A,4):2.311489381106537 
data(p1040):lugboot(A,med):0.4102196541966429 
data(p1040):safety(A,med):1.9367518485747315 
data(p671):buying(A,high):-1.4337563129099091 
data(p671):maint(A,med):1.322818422856931 
data(p671):doors(A,2):-2.9553475288661035 
data(p671):persons(A,more):2.458852110747617 
data(p671):lugboot(A,med):0.45367092410370635 
data(p671):safety(A,med):1.4733855789127408 
data(p1315):buying(A,low):2.55633313705021 
data(p1315):maint(A,vhigh):-1.8257798193465522 
data(p1315):doors(A,2):-2.4784680628958937 
data(p1315):persons(A,more):1.2439260583324006 
data(p1315):lugboot(A,small):-2.323610826868661 
data(p1315):safety(A,low):-3.773560621391485 
data(p2):buying(A,vhigh):-2.1875076430784763 
data(p2):maint(A,vhigh):-2.5342052048529813 
data(p2):doors(A,2):-1.832077721874214 
data(p2):persons(A,2):-3.5134342660330575 
data(p2):lugboot(A,small):-2.0267201145080453 
data(p2):safety(A,med):0.5988341890601654 
data(p1356):buying(A,low):2.3461184880676607 
data(p1356):maint(A,vhigh):-1.8594914604029062 
data(p1356):doors(A,4):0.5321164603670875 
data(p1356):persons(A,2):-4.606459372643385 
data(p1356):lugboot(A,med):0.5079377556079587 
data(p1356):safety(A,high):3.2554903991556263 
data(p1462):buying(A,low):2.0612791144011786 
data(p1462):maint(A,high):0.005613057168766335 
data(p1462):doors(A,4):0.6302680027454374 
data(p1462):persons(A,2):-3.324245706377951 
data(p1462):lugboot(A,med):0.668909653665537 
data(p1462):safety(A,low):-3.2208408113183893 
data(p142):buying(A,vhigh):-2.718177299057401 
data(p142):maint(A,high):-1.2163534121035113 
data(p142):doors(A,3):-0.007724540079514371 
data(p142):persons(A,2):-2.989856184828349 
data(p142):lugboot(A,big):1.00108489830122 
data(p142):safety(A,low):-2.822597347281843 
data(p831):buying(A,high):-1.1409435152060199 
data(p831):maint(A,low):1.3968814262808498 
data(p831):doors(A,4):0.31430873684855415 
data(p831):persons(A,more):1.928371407023899 
data(p831):lugboot(A,small):-1.4252177661962444 
data(p831):safety(A,high):4.450236316668672 
data(p826):buying(A,high):-1.1194726736654879 
data(p826):maint(A,low):1.2211840661092912 
data(p826):doors(A,4):0.38989643493053133 
data(p826):persons(A,4):2.4698306842892435 
data(p826):lugboot(A,big):1.0634940756886329 
data(p826):safety(A,low):-4.748875974934425 
data(p421):buying(A,vhigh):-1.5659268557909862 
data(p421):maint(A,low):2.1318589515025 
data(p421):doors(A,morethanfive):0.4656896082180161 
data(p421):persons(A,4):2.4788944455523407 
data(p421):lugboot(A,big):0.9480240149520678 
data(p421):safety(A,low):-4.3692759061340585 
data(p793):buying(A,high):-1.2848056595375896 
data(p793):maint(A,low):1.3946709717765169 
data(p793):doors(A,3):-0.20875993243243746 
data(p793):persons(A,4):2.169941571537337 
data(p793):lugboot(A,small):-1.018956022890909 
data(p793):safety(A,low):-4.386819550093643 
data(p510):buying(A,high):-1.694772658629341 
data(p510):maint(A,vhigh):-4.036486894222818 
data(p510):doors(A,4):0.4537474002413426 
data(p510):persons(A,more):2.470991513375385 
data(p510):lugboot(A,med):0.6915729562305879 
data(p510):safety(A,high):3.515041170360212 
data(p71):buying(A,vhigh):-3.0874392375529083 
data(p71):maint(A,vhigh):-3.5231269219170533 
data(p71):doors(A,4):0.5390544752786938 
data(p71):persons(A,4):1.9861562741058492 
data(p71):lugboot(A,big):1.7419195402976653 
data(p71):safety(A,med):1.8788403560914073 
data(p1676):buying(A,low):2.123893342446948 
data(p1676):maint(A,low):1.1593810076102429 
data(p1676):doors(A,4):0.503155289169475 
data(p1676):persons(A,2):-4.7230107435077056 
data(p1676):lugboot(A,small):-1.6579672893560116 
data(p1676):safety(A,med):1.690873701287631 
data(p484):buying(A,high):-1.5004482526237681 
data(p484):maint(A,vhigh):-3.2565045613630756 
data(p484):doors(A,3):0.26520733807775726 
data(p484):persons(A,more):2.5745740036240434 
data(p484):lugboot(A,big):1.2682160714461352 
data(p484):safety(A,low):-4.095196162427019 
data(p305):buying(A,vhigh):-1.7256110322116764 
data(p305):maint(A,med):1.9736554996494242 
data(p305):doors(A,morethanfive):0.5102746278489931 
data(p305):persons(A,2):-4.497944062375242 
data(p305):lugboot(A,big):1.415812254323988 
data(p305):safety(A,med):2.1256777185122435 
data(p773):buying(A,high):-1.6237249827642823 
data(p773):maint(A,low):1.313190473791975 
data(p773):doors(A,2):-1.0259187863081318 
data(p773):persons(A,4):2.8329453821747252 
data(p773):lugboot(A,big):2.2530291943061225 
data(p773):safety(A,med):1.7620621769824154 
data(p820):buying(A,high):-1.3295166789153956 
data(p820):maint(A,low):1.3621317673951896 
data(p820):doors(A,4):0.47897177642051153 
data(p820):persons(A,4):2.4914965815579593 
data(p820):lugboot(A,small):-1.230557483040611 
data(p820):safety(A,low):-4.417421317578857 
data(p575):buying(A,high):-0.3779576966164768 
data(p575):maint(A,high):0.12117279336622777 
data(p575):doors(A,3):-0.2405287564690423 
data(p575):persons(A,2):-4.602267163908665 
data(p575):lugboot(A,big):1.652027606780992 
data(p575):safety(A,med):1.6799675419689315 
data(p181):buying(A,vhigh):-3.0730528170909963 
data(p181):maint(A,high):-1.3384650340279387 
data(p181):doors(A,4):0.4422874035973576 
data(p181):persons(A,more):1.769433418982777 
data(p181):lugboot(A,small):-1.6946859712411058 
data(p181):safety(A,low):-3.6886213532500025 
data(p1442):buying(A,low):3.5482537127827216 
data(p1442):maint(A,high):-0.4914025200037826 
data(p1442):doors(A,3):-0.4497805294310705 
data(p1442):persons(A,4):2.5133324429422332 
data(p1442):lugboot(A,small):-1.6289967044755662 
data(p1442):safety(A,med):1.346151836855498 
data(p1053):buying(A,med):1.341910920027309 
data(p1053):maint(A,high):-1.245451494035569 
data(p1053):doors(A,4):0.1378773076697839 
data(p1053):persons(A,more):2.5734287192838954 
data(p1053):lugboot(A,big):0.4888757776213825 
data(p1053):safety(A,high):3.1202254648318895 
data(p948):buying(A,med):2.2683154509148236 
data(p948):maint(A,vhigh):-1.7763523661704104 
data(p948):doors(A,morethanfive):0.30843888360687194 
data(p948):persons(A,2):-4.356211922703043 
data(p948):lugboot(A,small):-0.6094786480690936 
data(p948):safety(A,high):3.956297698518152 
data(p618):buying(A,high):-0.2025699170299404 
data(p618):maint(A,high):-0.03820899547408468 
data(p618):doors(A,4):0.3731439493851408 
data(p618):persons(A,more):2.5354583848108354 
data(p618):lugboot(A,med):0.7182019082858453 
data(p618):safety(A,high):3.4967975237833437 
data(p1013):buying(A,med):1.2921889263873143 
data(p1013):maint(A,high):-1.3740147622850019 
data(p1013):doors(A,3):-1.084323165500056 
data(p1013):persons(A,4):1.7858923027040132 
data(p1013):lugboot(A,med):-0.1498080219725499 
data(p1013):safety(A,med):1.5902239527510573 
data(p832):buying(A,high):-1.07388535409519 
data(p832):maint(A,low):1.1465831551004957 
data(p832):doors(A,4):0.5578506423716766 
data(p832):persons(A,more):2.549829743614996 
data(p832):lugboot(A,med):0.8577698272129086 
data(p832):safety(A,low):-4.632269164878638 
data(p1101):buying(A,med):1.6996541454944445 
data(p1101):maint(A,med):0.8065898371168665 
data(p1101):doors(A,2):-3.2496640013437537 
data(p1101):persons(A,more):1.4567722111840595 
data(p1101):lugboot(A,small):-2.4318517504058517 
data(p1101):safety(A,high):3.95703423092956 
data(p1604):buying(A,low):2.944584556208226 
data(p1604):maint(A,med):1.3212419591673221 
data(p1604):doors(A,morethanfive):0.5692049475179336 
data(p1604):persons(A,4):3.054443663100742 
data(p1604):lugboot(A,small):-1.9404463470281872 
data(p1604):safety(A,med):1.782264664798949 
data(p457):buying(A,high):-1.5045703721994625 
data(p457):maint(A,vhigh):-3.0188065125586445 
data(p457):doors(A,2):-0.8737987338947268 
data(p457):persons(A,more):1.9434979107308588 
data(p457):lugboot(A,big):1.8816977354984392 
data(p457):safety(A,low):-3.893910668400591 
data(p392):buying(A,vhigh):-2.412690725788111 
data(p392):maint(A,low):2.3600021817568084 
data(p392):doors(A,4):0.8745750434147477 
data(p392):persons(A,4):2.298455961949581 
data(p392):lugboot(A,med):0.5434596279706514 
data(p392):safety(A,med):1.6765983920316028 
data(p1400):buying(A,low):3.024683043790802 
data(p1400):maint(A,vhigh):-3.1259229810782143 
data(p1400):doors(A,morethanfive):0.6481332234530451 
data(p1400):persons(A,more):2.6292650195680936 
data(p1400):lugboot(A,med):0.7832038905767318 
data(p1400):safety(A,med):2.019467569532431 
data(p1720):buying(A,low):1.7643508627348516 
data(p1720):maint(A,low):1.103815129890936 
data(p1720):doors(A,morethanfive):0.42251609438744325 
data(p1720):persons(A,more):1.929784711706858 
data(p1720):lugboot(A,small):-1.7079745763833705 
data(p1720):safety(A,low):-4.607048569289069 
data(p1616):buying(A,low):2.2482560834348715 
data(p1616):maint(A,med):1.2126987804835827 
data(p1616):doors(A,morethanfive):0.6714605534169207 
data(p1616):persons(A,more):2.819141816766242 
data(p1616):lugboot(A,med):0.8226023663690133 
data(p1616):safety(A,med):2.5410133079360766 
data(p16):buying(A,vhigh):-2.2732860998268882 
data(p16):maint(A,vhigh):-2.6397199122601838 
data(p16):doors(A,2):-0.11625709320302109 
data(p16):persons(A,4):2.2693640803050505 
data(p16):lugboot(A,big):1.6794716370677203 
data(p16):safety(A,low):-3.632560242740064 
data(p332):buying(A,vhigh):-1.6514452924430059 
data(p332):maint(A,low):1.9485557121699975 
data(p332):doors(A,2):-1.141440233923527 
data(p332):persons(A,2):-4.3693829661192005 
data(p332):lugboot(A,big):2.056467094108208 
data(p332):safety(A,med):1.6718608897564693 
data(p242):buying(A,vhigh):-2.251995258443902 
data(p242):maint(A,med):2.006510840261729 
data(p242):doors(A,2):-1.6863763394891529 
data(p242):persons(A,more):2.2245626921618546 
data(p242):lugboot(A,big):2.346215660175164 
data(p242):safety(A,med):2.0059334525159476 
data(p1523):buying(A,low):2.973557569500088 
data(p1523):maint(A,med):1.221991723997462 
data(p1523):doors(A,2):-1.5544179166821848 
data(p1523):persons(A,4):3.8253317056913834 
data(p1523):lugboot(A,small):-1.8456151039958268 
data(p1523):safety(A,med):1.6562372836588384 
data(p317):buying(A,vhigh):-2.3728002517062845 
data(p317):maint(A,med):2.085846194919092 
data(p317):doors(A,morethanfive):0.540889925182435 
data(p317):persons(A,more):2.0050236130720744 
data(p317):lugboot(A,small):-2.7748316141155533 
data(p317):safety(A,med):1.261443331132795 
data(p923):buying(A,med):2.283743736890942 
data(p923):maint(A,vhigh):-2.3258708493979086 
data(p923):doors(A,4):0.9148496921997219 
data(p923):persons(A,2):-4.477992223448301 
data(p923):lugboot(A,med):0.5165950235105221 
data(p923):safety(A,med):1.6878654398925768 
data(p513):buying(A,high):-1.709065404472602 
data(p513):maint(A,vhigh):-3.964403446443469 
data(p513):doors(A,4):0.21103377677401827 
data(p513):persons(A,more):2.317739458452224 
data(p513):lugboot(A,big):0.6980654485188745 
data(p513):safety(A,high):3.0980425939778917 
data(p650):buying(A,high):-1.2357380864327556 
data(p650):maint(A,med):1.2732295494824069 
data(p650):doors(A,2):-2.2664741135302346 
data(p650):persons(A,2):-4.23547959652153 
data(p650):lugboot(A,small):-2.228782865068425 
data(p650):safety(A,med):0.9350170514957954 
data(p1062):buying(A,med):0.9962838829091034 
data(p1062):maint(A,high):-0.9637285261641778 
data(p1062):doors(A,morethanfive):0.21318715459479215 
data(p1062):persons(A,2):-4.830315883927161 
data(p1062):lugboot(A,big):0.38592171509620093 
data(p1062):safety(A,high):2.91179049226801 
data(p1456):buying(A,low):2.0794778238677103 
data(p1456):maint(A,high):-0.3213880582548299 
data(p1456):doors(A,3):0.20959225473069246 
data(p1456):persons(A,more):2.6157559804355963 
data(p1456):lugboot(A,big):0.927551947720751 
data(p1456):safety(A,low):-4.760198139777688 
data(p1133):buying(A,med):1.813228356640433 
data(p1133):maint(A,med):1.3055413309822068 
data(p1133):doors(A,3):0.04557578406934095 
data(p1133):persons(A,more):3.167239431125862 
data(p1133):lugboot(A,big):1.5744767567984237 
data(p1133):safety(A,med):2.6408433645918827 
data(p409):buying(A,vhigh):-1.1008826846074906 
data(p409):maint(A,low):2.014687455088599 
data(p409):doors(A,morethanfive):0.7558656692942932 
data(p409):persons(A,2):-3.068521899691176 
data(p409):lugboot(A,med):0.6003216534408623 
data(p409):safety(A,low):-3.0526869435443618 
data(p1725):buying(A,low):1.473185997409813 
data(p1725):maint(A,low):1.1184718897857318 
data(p1725):doors(A,morethanfive):0.4273828893920031 
data(p1725):persons(A,more):2.6991612388026422 
data(p1725):lugboot(A,med):0.6924984030655147 
data(p1725):safety(A,high):3.337967312964269 
data(p1184):buying(A,med):1.7362111884696323 
data(p1184):maint(A,med):1.3635686196804542 
data(p1184):doors(A,morethanfive):0.5912515389439965 
data(p1184):persons(A,more):3.0136439283292753 
data(p1184):lugboot(A,med):0.6850880281910045 
data(p1184):safety(A,med):2.378744814287978 
data(p1226):buying(A,med):2.1593892704072597 
data(p1226):maint(A,low):1.7477610807346147 
data(p1226):doors(A,3):-0.44829630585575647 
data(p1226):persons(A,4):2.465438023127254 
data(p1226):lugboot(A,small):-1.6590564523154618 
data(p1226):safety(A,med):1.2781682798712752 
data(p358):buying(A,vhigh):-1.1068514329540122 
data(p358):maint(A,low):1.9542931644192871 
data(p358):doors(A,3):0.002894826665663237 
data(p358):persons(A,2):-3.1737039414147423 
data(p358):lugboot(A,big):0.9995215509585245 
data(p358):safety(A,low):-3.1186440322624263 
data(p486):buying(A,high):-1.702165044024469 
data(p486):maint(A,vhigh):-4.028356360211184 
data(p486):doors(A,3):0.2555648207183856 
data(p486):persons(A,more):2.6575795677932086 
data(p486):lugboot(A,big):0.7869063915099092 
data(p486):safety(A,high):3.2376727169328725 
data(p343):buying(A,vhigh):-1.4406176343164392 
data(p343):maint(A,low):1.967560016921375 
data(p343):doors(A,2):-2.5374808727166887 
data(p343):persons(A,more):1.3383311880712059 
data(p343):lugboot(A,small):-2.4442710278784854 
data(p343):safety(A,low):-3.7852136073558174 
data(p966):buying(A,med):2.605672586851169 
data(p966):maint(A,vhigh):-2.2879386371909938 
data(p966):doors(A,morethanfive):0.28344175902060853 
data(p966):persons(A,more):2.0664985663546944 
data(p966):lugboot(A,small):-1.2771958284469278 
data(p966):safety(A,high):4.168207821228451 
data(p300):buying(A,vhigh):-1.4970218103068529 
data(p300):maint(A,med):1.7679028606102083 
data(p300):doors(A,morethanfive):0.36139965683736824 
data(p300):persons(A,2):-4.301557607505868 
data(p300):lugboot(A,small):-0.8426820136141095 
data(p300):safety(A,high):3.8588936789107344 
data(p1107):buying(A,med):1.524314180790398 
data(p1107):maint(A,med):0.8845791372702163 
data(p1107):doors(A,2):-1.495052783074095 
data(p1107):persons(A,more):2.2768023155706176 
data(p1107):lugboot(A,big):1.2823706081623096 
data(p1107):safety(A,high):3.16851107083366 
data(p891):buying(A,med):2.4763706573771707 
data(p891):maint(A,vhigh):-2.217853011532879 
data(p891):doors(A,2):-1.1545395390544848 
data(p891):persons(A,more):2.213219642333138 
data(p891):lugboot(A,big):1.3318520971908068 
data(p891):safety(A,high):3.325473760022227 
data(p1577):buying(A,low):2.9025428190432923 
data(p1577):maint(A,med):1.2718435625179108 
data(p1577):doors(A,4):0.4835357511497496 
data(p1577):persons(A,4):2.989931412835403 
data(p1577):lugboot(A,small):-1.8668497519668803 
data(p1577):safety(A,med):1.7787175066397802 
data(p1124):buying(A,med):1.8425207099415604 
data(p1124):maint(A,med):1.3689358895883108 
data(p1124):doors(A,3):-0.6705967062489204 
data(p1124):persons(A,4):2.387912888631678 
data(p1124):lugboot(A,big):1.6637940793874375 
data(p1124):safety(A,med):2.399114174828134 
data(p131):buying(A,vhigh):-3.858594836182816 
data(p131):maint(A,high):-1.512434351561142 
data(p131):doors(A,2):-2.454858701845099 
data(p131):persons(A,more):2.433311128690656 
data(p131):lugboot(A,med):0.4287904625741255 
data(p131):safety(A,med):1.2848377330416108 
data(p500):buying(A,high):-2.0114296987026488 
data(p500):maint(A,vhigh):-4.379345809240591 
data(p500):doors(A,4):0.9869023507896717 
data(p500):persons(A,4):1.8645875793598221 
data(p500):lugboot(A,med):0.5791454340968605 
data(p500):safety(A,med):1.3977465481530047 
data(p1174):buying(A,med):1.4717047647830506 
data(p1174):maint(A,med):1.2060416472673827 
data(p1174):doors(A,morethanfive):0.6590664062713733 
data(p1174):persons(A,4):2.475441576998388 
data(p1174):lugboot(A,med):0.27218418101655817 
data(p1174):safety(A,low):-4.7765889941338076 
data(p827):buying(A,high):-1.5515829357046846 
data(p827):maint(A,low):1.3610060218711633 
data(p827):doors(A,4):0.47065041771554195 
data(p827):persons(A,4):2.5315898588285966 
data(p827):lugboot(A,big):1.6626270323485555 
data(p827):safety(A,med):2.173049913724046 
data(p163):buying(A,vhigh):-2.7339176107972882 
data(p163):maint(A,high):-1.117820900059125 
data(p163):doors(A,4):0.5085454949000838 
data(p163):persons(A,2):-2.74311241355562 
data(p163):lugboot(A,small):-1.0599633330524652 
data(p163):safety(A,low):-2.5943353820206854 
data(p1403):buying(A,low):2.773695998340717 
data(p1403):maint(A,vhigh):-2.955490364386004 
data(p1403):doors(A,morethanfive):0.3678529937641048 
data(p1403):persons(A,more):2.43461183190352 
data(p1403):lugboot(A,big):1.4709632258334595 
data(p1403):safety(A,med):2.4470883432792547 
data(p1109):buying(A,med):1.884190037207265 
data(p1109):maint(A,med):1.325794083639665 
data(p1109):doors(A,3):-0.06038913987092929 
data(p1109):persons(A,2):-4.649483764041457 
data(p1109):lugboot(A,small):-1.5054493353235816 
data(p1109):safety(A,med):1.3739142408007952 
data(p1501):buying(A,low):2.548913063769718 
data(p1501):maint(A,high):-0.36686746037043444 
data(p1501):doors(A,morethanfive):0.3775914398572897 
data(p1501):persons(A,4):2.7569424700463414 
data(p1501):lugboot(A,big):0.8187652589169993 
data(p1501):safety(A,low):-4.792256780549191 
data(p1527):buying(A,low):1.996022346193145 
data(p1527):maint(A,med):0.8826439590285176 
data(p1527):doors(A,2):-1.4236732322483148 
data(p1527):persons(A,4):3.4288849374950794 
data(p1527):lugboot(A,med):-0.082264412711955 
data(p1527):safety(A,high):3.9639967498823308 
data(p1125):buying(A,med):1.5260023323812937 
data(p1125):maint(A,med):1.1000042584489822 
data(p1125):doors(A,3):-0.3450399561609482 
data(p1125):persons(A,4):2.787565007868338 
data(p1125):lugboot(A,big):0.6025982682652385 
data(p1125):safety(A,high):3.5295988469134274 
data(p386):buying(A,vhigh):-1.7195792369525942 
data(p386):maint(A,low):2.046361227171389 
data(p386):doors(A,4):0.4544703902951818 
data(p386):persons(A,2):-4.475318773803742 
data(p386):lugboot(A,big):1.3767970652271058 
data(p386):safety(A,med):2.0716088079746777 
data(p1305):buying(A,low):2.1342102215373107 
data(p1305):maint(A,vhigh):-1.627119627145878 
data(p1305):doors(A,2):-0.5982058721584824 
data(p1305):persons(A,2):-4.560163044862237 
data(p1305):lugboot(A,big):1.1375169883346044 
data(p1305):safety(A,high):3.0027905843143596 
data(p355):buying(A,vhigh):-1.1269821141182073 
data(p355):maint(A,low):1.9915636126330851 
data(p355):doors(A,3):-0.24955346532336883 
data(p355):persons(A,2):-3.0723865195505398 
data(p355):lugboot(A,med):0.26967629187952424 
data(p355):safety(A,low):-3.025863794836965 
data(p1587):buying(A,low):1.5757816043271013 
data(p1587):maint(A,med):0.9451565029787935 
data(p1587):doors(A,4):0.2922759289631388 
data(p1587):persons(A,more):1.8899442546020817 
data(p1587):lugboot(A,small):-1.4768071006939458 
data(p1587):safety(A,high):3.8399794046723335 
data(p404):buying(A,vhigh):-2.383507460598574 
data(p404):maint(A,low):2.1266595394805203 
data(p404):doors(A,4):0.30607729225407493 
data(p404):persons(A,more):2.512640221851323 
data(p404):lugboot(A,big):1.5098018978957177 
data(p404):safety(A,med):2.323173878443348 
data(p1423):buying(A,low):2.3393474372489633 
data(p1423):maint(A,high):-0.06964672676349402 
data(p1423):doors(A,2):-2.470736266323024 
data(p1423):persons(A,more):1.2605522640267446 
data(p1423):lugboot(A,small):-2.417020073708094 
data(p1423):safety(A,low):-4.094829716167167 
data(p1005):buying(A,med):1.0039270181161284 
data(p1005):maint(A,high):-0.9372322237258955 
data(p1005):doors(A,3):-0.2082198104973865 
data(p1005):persons(A,2):-4.7506285697204795 
data(p1005):lugboot(A,med):0.13216715791053346 
data(p1005):safety(A,high):3.521360296664052 
data(p68):buying(A,vhigh):-3.0019740633344565 
data(p68):maint(A,vhigh):-3.6331816338736607 
data(p68):doors(A,4):0.9579179487914091 
data(p68):persons(A,4):1.8354857328666818 
data(p68):lugboot(A,med):0.5683110651102872 
data(p68):safety(A,med):1.413234479793146 
data(p359):buying(A,vhigh):-1.7031414760173644 
data(p359):maint(A,low):2.082919893756418 
data(p359):doors(A,3):-0.17889384150064552 
data(p359):persons(A,2):-4.477251382381789 
data(p359):lugboot(A,big):1.5366911046049392 
data(p359):safety(A,med):1.8571028884540093 
data(p878):buying(A,med):2.571051981016223 
data(p878):maint(A,vhigh):-3.0426543441070377 
data(p878):doors(A,2):-1.8344690177047243 
data(p878):persons(A,4):2.3751706627494635 
data(p878):lugboot(A,med):-0.32049198450793187 
data(p878):safety(A,med):1.1959401034878778 
data(p550):buying(A,high):-0.42075236035792585 
data(p550):maint(A,high):0.26589180076951124 
data(p550):doors(A,2):-0.9383977300324338 
data(p550):persons(A,4):3.0092870693014384 
data(p550):lugboot(A,small):-1.4465199872567454 
data(p550):safety(A,low):-3.9513015390499975 
data(p200):buying(A,vhigh):-4.130733178444655 
data(p200):maint(A,high):-1.7727006707102637 
data(p200):doors(A,morethanfive):0.5476506882134176 
data(p200):persons(A,4):2.2417344269220916 
data(p200):lugboot(A,small):-2.1711022756589093 
data(p200):safety(A,med):0.8790327667575601 
data(p136):buying(A,vhigh):-2.6994885920496086 
data(p136):maint(A,high):-1.1209684849904447 
data(p136):doors(A,3):0.12864757653467918 
data(p136):persons(A,2):-2.7485683408604187 
data(p136):lugboot(A,small):-0.9067645335560082 
data(p136):safety(A,low):-2.5694956309298758 
data(p1576):buying(A,low):2.282589042036277 
data(p1576):maint(A,med):1.0512072233560856 
data(p1576):doors(A,4):0.40937500341757105 
data(p1576):persons(A,4):2.946248286892802 
data(p1576):lugboot(A,small):-1.0126749399664177 
data(p1576):safety(A,low):-4.614441729682052 
data(p1606):buying(A,low):2.1243901510961747 
data(p1606):maint(A,med):1.0281541024293377 
data(p1606):doors(A,morethanfive):0.7566541869627454 
data(p1606):persons(A,4):2.640478353733251 
data(p1606):lugboot(A,med):0.3731912609171177 
data(p1606):safety(A,low):-4.859145085375487 
data(p172):buying(A,vhigh):-3.2053741040546 
data(p172):maint(A,high):-1.4082408064312997 
data(p172):doors(A,4):0.48561069107730614 
