data(p140):handicapped_infants(A,y):0.2116940106905232 
data(p376):export_administration_act_south_africa(A,n):0.0016344521661948996 
data(p89):handicapped_infants(A,n):0.5354396175008864 
data(p89):water_project_cost_sharing(A,y):1.7544172037429526 
data(p89):budget_resolution(A,y):1.150217432733053 
data(p89):physician_fee_freeze(A,n):1.3883282189599178 
data(p89):el_salvador_aid(A,y):-0.11757917667922516 
data(p89):religious_groups_in_schools(A,y):0.285893896473682 
data(p89):anti_satellite_test_ban(A,y):-0.20772956319617594 
data(p89):aid_to_nicaraguan_contras(A,n):2.0909013487684196 
data(p89):mx_missile(A,y):1.7380237816749093 
data(p89):immigration(A,y):-0.8618219125861355 
data(p89):synfuels_corporation_cutback(A,y):0.167183853357559 
data(p89):education_spending(A,n):1.2358674019506612 
data(p89):superfund_right_to_sue(A,y):-0.14716029586703464 
data(p89):crime(A,y):0.05643093710703051 
data(p89):duty_free_exports(A,n):-0.389511732407258 
data(p89):export_administration_act_south_africa(A,y):-0.42697415974060066 
data(p132):handicapped_infants(A,n):0.5714607705318409 
data(p132):water_project_cost_sharing(A,n):-0.17587100619560783 
data(p132):budget_resolution(A,y):1.1936237965704246 
data(p132):physician_fee_freeze(A,n):1.7132978049732053 
data(p132):el_salvador_aid(A,n):-0.33015778977168564 
data(p132):religious_groups_in_schools(A,y):0.27675731264612263 
data(p132):anti_satellite_test_ban(A,n):-0.26166266762424395 
data(p132):aid_to_nicaraguan_contras(A,y):0.4087022697217801 
data(p132):mx_missile(A,y):1.6670028849526828 
data(p132):immigration(A,y):-0.7747155465013521 
data(p132):synfuels_corporation_cutback(A,n):-1.3158730699107115 
data(p132):education_spending(A,n):1.1999448818016523 
data(p132):superfund_right_to_sue(A,n):0.4127474220503839 
data(p132):crime(A,y):0.021973200205942588 
data(p132):duty_free_exports(A,n):-0.5182545055458961 
data(p132):export_administration_act_south_africa(A,y):-0.37675064348907844 
data(p125):handicapped_infants(A,n):0.5045024670385938 
data(p125):budget_resolution(A,y):1.0398019966403445 
data(p125):physician_fee_freeze(A,n):1.6795578584306687 
data(p125):el_salvador_aid(A,n):-0.32166555592080937 
data(p125):religious_groups_in_schools(A,n):-0.2920877847889192 
data(p125):anti_satellite_test_ban(A,y):-0.1827252019081728 
data(p125):aid_to_nicaraguan_contras(A,y):0.4145815707722019 
data(p125):mx_missile(A,y):1.716639614384455 
data(p125):immigration(A,n):0.5654451004949168 
data(p125):synfuels_corporation_cutback(A,n):-1.2646218023402211 
data(p125):education_spending(A,n):1.171438284915854 
data(p125):superfund_right_to_sue(A,n):0.4336037683979003 
data(p125):crime(A,n):0.23182172332940593 
data(p125):duty_free_exports(A,y):0.11819145606065692 
data(p125):export_administration_act_south_africa(A,y):-0.3797393105157116 
data(p271):handicapped_infants(A,y):0.2116940106905232 
data(p271):water_project_cost_sharing(A,y):1.717872574599333 
data(p271):budget_resolution(A,y):1.0442246295088784 
data(p271):physician_fee_freeze(A,n):1.644377714992014 
data(p271):el_salvador_aid(A,n):-0.3347270195909115 
data(p271):religious_groups_in_schools(A,n):-0.29468378313572485 
data(p271):anti_satellite_test_ban(A,y):-0.1862268909405914 
data(p271):aid_to_nicaraguan_contras(A,y):0.4094923316940241 
data(p271):mx_missile(A,y):1.691169379521778 
data(p271):immigration(A,n):0.6642737970246907 
data(p271):synfuels_corporation_cutback(A,n):-1.2770698476406215 
data(p271):education_spending(A,n):1.126104277031821 
data(p271):superfund_right_to_sue(A,n):0.4284101883320614 
data(p271):crime(A,n):0.2316895977635152 
data(p271):duty_free_exports(A,y):0.10714909581338755 
data(p271):export_administration_act_south_africa(A,y):-0.40495797385071614 
data(p15):handicapped_infants(A,n):0.4839883575753289 
data(p15):water_project_cost_sharing(A,y):1.930786077981306 
data(p15):budget_resolution(A,n):-1.0844873107723643 
data(p15):physician_fee_freeze(A,y):-4.674303739329006 
data(p15):el_salvador_aid(A,y):-0.2040834197207329 
data(p15):religious_groups_in_schools(A,y):0.20464388860477015 
data(p15):anti_satellite_test_ban(A,n):-0.304245866757893 
data(p15):aid_to_nicaraguan_contras(A,n):2.281090006494566 
data(p15):mx_missile(A,n):0.11069018742596651 
data(p15):immigration(A,n):0.6847641802218832 
data(p15):synfuels_corporation_cutback(A,n):-1.304799795218481 
data(p15):education_spending(A,y):0.8859778019010649 
data(p15):duty_free_exports(A,n):-0.2967846655449957 
data(p343):handicapped_infants(A,n):0.5161470637601052 
data(p343):water_project_cost_sharing(A,y):1.6878451808652837 
data(p343):budget_resolution(A,y):1.1721106762437536 
data(p343):physician_fee_freeze(A,n):1.4522517139999465 
data(p343):el_salvador_aid(A,y):-0.11757917667922516 
data(p343):anti_satellite_test_ban(A,y):-0.17042097229421957 
data(p343):aid_to_nicaraguan_contras(A,n):2.0621462254245784 
data(p343):mx_missile(A,n):0.14955794893209617 
data(p343):immigration(A,y):-0.8087860914997049 
data(p343):synfuels_corporation_cutback(A,y):0.15122742737359193 
data(p343):education_spending(A,n):1.2466921908493032 
data(p343):superfund_right_to_sue(A,y):-0.15482892970767556 
data(p343):crime(A,n):0.1521423471954143 
data(p343):duty_free_exports(A,y):0.18899046744743223 
data(p343):export_administration_act_south_africa(A,y):-0.420320729253226 
data(p301):handicapped_infants(A,n):0.5584323488644342 
data(p301):water_project_cost_sharing(A,n):-0.11149956193840205 
data(p301):budget_resolution(A,n):-0.9422291231997859 
data(p301):physician_fee_freeze(A,y):-4.834064615894131 
data(p301):el_salvador_aid(A,y):-0.19384554590917438 
data(p301):religious_groups_in_schools(A,n):-0.21561290782269582 
data(p301):anti_satellite_test_ban(A,y):-0.14743136036713386 
data(p301):aid_to_nicaraguan_contras(A,y):0.42876978741878913 
data(p301):mx_missile(A,y):1.880561741621814 
data(p301):immigration(A,y):-0.7339029227408851 
data(p301):synfuels_corporation_cutback(A,n):-1.2895280724738332 
data(p301):education_spending(A,y):0.9109726829853972 
data(p301):superfund_right_to_sue(A,y):-0.06491988418268108 
data(p301):crime(A,y):0.04716411315988375 
data(p301):duty_free_exports(A,n):-0.4877331079557683 
data(p301):export_administration_act_south_africa(A,y):-0.5141502867501984 
data(p124):handicapped_infants(A,y):0.22764055252896254 
data(p124):budget_resolution(A,n):-1.0013414165116123 
data(p124):physician_fee_freeze(A,y):-4.904102693369495 
data(p124):el_salvador_aid(A,y):-0.19443338672031127 
data(p124):religious_groups_in_schools(A,y):0.19550730477721076 
data(p124):anti_satellite_test_ban(A,n):-0.3106454719922578 
data(p124):aid_to_nicaraguan_contras(A,y):0.42505161064090735 
data(p124):mx_missile(A,n):0.11951161149274658 
data(p124):immigration(A,n):0.691904979446225 
data(p124):synfuels_corporation_cutback(A,n):-1.2606274795165773 
data(p124):education_spending(A,y):0.8713967955682276 
data(p124):superfund_right_to_sue(A,y):-0.1327580498701401 
data(p124):crime(A,y):0.057427757789349124 
data(p124):duty_free_exports(A,n):-0.43598066727068785 
data(p124):export_administration_act_south_africa(A,y):-0.5211406131318547 
data(p139):handicapped_infants(A,n):0.5732356534422476 
data(p139):water_project_cost_sharing(A,n):-0.17587100619560783 
data(p139):budget_resolution(A,y):1.0999473829374782 
data(p139):physician_fee_freeze(A,n):1.7329945474253892 
data(p139):el_salvador_aid(A,n):-0.33015778977168564 
data(p139):religious_groups_in_schools(A,y):0.27675731264612263 
data(p139):anti_satellite_test_ban(A,y):-0.2068121605825385 
data(p139):aid_to_nicaraguan_contras(A,y):0.4087022697217801 
data(p139):mx_missile(A,y):1.6670028849526828 
data(p139):immigration(A,y):-0.7688643152187752 
data(p139):synfuels_corporation_cutback(A,n):-1.3139850506618311 
data(p139):education_spending(A,n):1.1999448818016523 
data(p139):superfund_right_to_sue(A,n):0.39882680251386077 
data(p139):crime(A,y):0.021973200205942588 
data(p139):duty_free_exports(A,n):-0.5362294748727052 
data(p139):export_administration_act_south_africa(A,y):-0.37675064348907844 
data(p112):handicapped_infants(A,n):0.5514237075302973 
data(p112):budget_resolution(A,n):-1.0656616229870923 
data(p112):physician_fee_freeze(A,y):-4.889579196139969 
data(p112):el_salvador_aid(A,y):-0.19384554590917438 
data(p112):religious_groups_in_schools(A,y):0.2282685778288082 
data(p112):anti_satellite_test_ban(A,n):-0.2975952359100459 
data(p112):aid_to_nicaraguan_contras(A,n):2.1890059879411394 
data(p112):mx_missile(A,n):0.1316734927441191 
data(p112):immigration(A,y):-0.7827715754101295 
data(p112):synfuels_corporation_cutback(A,n):-1.1962761918254359 
data(p112):education_spending(A,y):0.9150458846178886 
data(p112):superfund_right_to_sue(A,y):-0.0734486716893143 
data(p112):crime(A,y):0.04716411315988375 
data(p112):duty_free_exports(A,n):-0.36137477491513037 
data(p112):export_administration_act_south_africa(A,y):-0.532648215639814 
data(p52):handicapped_infants(A,n):0.4728418495902457 
data(p52):water_project_cost_sharing(A,y):1.8973088502319702 
data(p52):budget_resolution(A,n):-1.0795558569663868 
data(p52):physician_fee_freeze(A,y):-4.855549032840669 
data(p52):el_salvador_aid(A,y):-0.2040834197207329 
data(p52):religious_groups_in_schools(A,y):0.20464388860477015 
data(p52):anti_satellite_test_ban(A,n):-0.304245866757893 
data(p52):mx_missile(A,n):0.11069018742596651 
data(p52):immigration(A,n):0.6418465530189115 
data(p52):synfuels_corporation_cutback(A,n):-1.287678427904482 
data(p52):education_spending(A,y):0.891999907242203 
data(p52):superfund_right_to_sue(A,y):-0.13623788542892287 
data(p52):crime(A,y):0.07363422010117832 
data(p52):duty_free_exports(A,n):-0.37792720337416197 
data(p52):export_administration_act_south_africa(A,y):-0.5751991554191859 
data(p113):handicapped_infants(A,n):0.557184648505904 
data(p113):budget_resolution(A,y):1.10292997813623 
data(p113):physician_fee_freeze(A,n):1.7270418275854689 
data(p113):el_salvador_aid(A,n):-0.3140136234192992 
data(p113):religious_groups_in_schools(A,y):0.2619018156432639 
data(p113):anti_satellite_test_ban(A,y):-0.16950356968058214 
data(p113):aid_to_nicaraguan_contras(A,y):0.4145815707722019 
data(p113):mx_missile(A,n):0.15101224846231157 
data(p113):immigration(A,y):-0.7243915507787254 
data(p113):synfuels_corporation_cutback(A,n):-1.2218988104586226 
data(p113):education_spending(A,n):1.2341296162527675 
data(p113):superfund_right_to_sue(A,n):0.4148199738757013 
data(p113):crime(A,n):0.2148301417901886 
data(p113):duty_free_exports(A,y):0.1547173549439514 
data(p10):handicapped_infants(A,y):0.2116940106905232 
data(p10):water_project_cost_sharing(A,y):1.7699305649951882 
data(p10):budget_resolution(A,y):1.0792638986503733 
data(p10):physician_fee_freeze(A,n):1.6141154836175158 
data(p10):el_salvador_aid(A,n):-0.3324854794339858 
data(p10):religious_groups_in_schools(A,n):-0.29468378313572485 
data(p10):anti_satellite_test_ban(A,y):-0.1862268909405914 
data(p10):aid_to_nicaraguan_contras(A,y):0.4094923316940241 
data(p10):mx_missile(A,y):1.7041034642679176 
data(p10):immigration(A,n):0.6873513865683528 
data(p10):synfuels_corporation_cutback(A,n):-1.2810243044173089 
data(p10):education_spending(A,n):1.1310062286787985 
data(p10):superfund_right_to_sue(A,n):0.43392038219849544 
data(p10):crime(A,n):0.2316895977635152 
data(p228):handicapped_infants(A,y):0.2116940106905232 
data(p228):water_project_cost_sharing(A,n):-0.17587100619560783 
data(p228):budget_resolution(A,y):1.0587661210119517 
data(p228):physician_fee_freeze(A,n):1.6720927470902438 
data(p228):el_salvador_aid(A,n):-0.32035861197316134 
data(p228):religious_groups_in_schools(A,n):-0.2920877847889192 
data(p228):anti_satellite_test_ban(A,y):-0.1862268909405914 
data(p228):aid_to_nicaraguan_contras(A,y):0.4036130306436024 
data(p228):mx_missile(A,y):1.6970844345959557 
data(p228):immigration(A,n):0.6673710537644543 
data(p228):synfuels_corporation_cutback(A,n):-1.2756476117939546 
data(p228):education_spending(A,n):1.1612911694859906 
data(p228):superfund_right_to_sue(A,n):0.43535767073070325 
data(p228):crime(A,n):0.2316895977635152 
data(p228):export_administration_act_south_africa(A,y):-0.3769883664914608 
data(p17):handicapped_infants(A,y):0.13357093749424329 
data(p17):water_project_cost_sharing(A,n):-0.15412533843958068 
data(p17):budget_resolution(A,y):1.3410441734755785 
data(p17):physician_fee_freeze(A,n):1.5834791368423702 
data(p17):el_salvador_aid(A,n):-0.29994895153632134 
data(p17):religious_groups_in_schools(A,y):0.24661613098345006 
data(p17):anti_satellite_test_ban(A,n):-0.26489612146874364 
data(p17):aid_to_nicaraguan_contras(A,y):0.4023564238655501 
data(p17):immigration(A,y):-0.8318817456955457 
data(p17):synfuels_corporation_cutback(A,y):0.2619503179295988 
data(p17):education_spending(A,y):0.8558392476479526 
data(p17):crime(A,n):0.1336570085188772 
data(p17):duty_free_exports(A,n):-0.45324150577067146 
data(p17):export_administration_act_south_africa(A,y):-0.3745139377728301 
data(p226):handicapped_infants(A,n):0.48708528183628064 
data(p226):budget_resolution(A,n):-1.024092416366076 
data(p226):physician_fee_freeze(A,y):-4.872404478343247 
data(p226):el_salvador_aid(A,y):-0.2040834197207329 
data(p226):religious_groups_in_schools(A,y):0.19550730477721076 
data(p226):anti_satellite_test_ban(A,n):-0.304245866757893 
data(p226):aid_to_nicaraguan_contras(A,n):2.273792290081969 
data(p226):mx_missile(A,n):0.11069018742596651 
data(p226):immigration(A,n):0.6376408769915085 
data(p226):synfuels_corporation_cutback(A,n):-1.222720274454973 
data(p226):education_spending(A,y):0.8857571695021897 
data(p226):superfund_right_to_sue(A,y):-0.13623788542892287 
data(p226):crime(A,y):0.06110739199597015 
data(p226):duty_free_exports(A,n):-0.3370882746652618 
data(p226):export_administration_act_south_africa(A,y):-0.5491115807290119 
data(p1):handicapped_infants(A,n):0.5322915331856616 
data(p1):water_project_cost_sharing(A,y):1.8609418645240041 
data(p1):budget_resolution(A,n):-1.2110957420459791 
data(p1):physician_fee_freeze(A,y):-4.812476402395272 
data(p1):el_salvador_aid(A,y):-0.17818279327016787 
data(p1):religious_groups_in_schools(A,y):0.23740516165636757 
data(p1):anti_satellite_test_ban(A,n):-0.2975952359100459 
data(p1):aid_to_nicaraguan_contras(A,n):2.1269333680795635 
data(p1):mx_missile(A,n):0.12299963483176297 
data(p1):immigration(A,y):-0.8149699148779977 
data(p1):education_spending(A,y):0.9127118396423299 
data(p1):superfund_right_to_sue(A,y):-0.1362143730047489 
data(p1):crime(A,y):0.05969094126509193 
data(p1):duty_free_exports(A,n):-0.30798430869270976 
data(p1):export_administration_act_south_africa(A,y):-0.5972549910910866 
data(p341):handicapped_infants(A,n):0.5261085559550457 
data(p341):water_project_cost_sharing(A,n):-0.13551205399689947 
data(p341):budget_resolution(A,n):-1.143950886436544 
data(p341):physician_fee_freeze(A,y):-4.750987834799966 
data(p341):el_salvador_aid(A,y):-0.1572632844037192 
data(p341):religious_groups_in_schools(A,y):0.2282685778288082 
data(p341):anti_satellite_test_ban(A,n):-0.291074366906644 
data(p341):aid_to_nicaraguan_contras(A,n):2.141144988596527 
data(p341):mx_missile(A,n):0.12968510117412857 
data(p341):immigration(A,y):-0.8563946447561436 
data(p341):synfuels_corporation_cutback(A,y):0.634078968959174 
data(p341):education_spending(A,y):0.9313052125858625 
data(p341):superfund_right_to_sue(A,n):0.7128907983617486 
data(p341):crime(A,y):0.034119222168519765 
data(p341):duty_free_exports(A,n):-0.310780436276788 
data(p341):export_administration_act_south_africa(A,y):-0.570686561538642 
data(p106):handicapped_infants(A,y):0.20491745590961002 
data(p106):water_project_cost_sharing(A,y):1.722088077462775 
data(p106):budget_resolution(A,y):1.0787083371021255 
data(p106):physician_fee_freeze(A,n):1.3109847816633293 
data(p106):el_salvador_aid(A,n):-0.33012914531503307 
data(p106):religious_groups_in_schools(A,n):-0.29711505338197963 
data(p106):anti_satellite_test_ban(A,n):-0.28042188071363805 
data(p106):aid_to_nicaraguan_contras(A,y):0.4094923316940241 
data(p106):mx_missile(A,y):1.7134990039366718 
data(p106):immigration(A,n):0.6901755105173873 
data(p106):synfuels_corporation_cutback(A,y):0.24964858693947392 
data(p106):education_spending(A,n):1.1596281486610607 
data(p106):superfund_right_to_sue(A,n):0.42921742158763726 
data(p106):crime(A,n):0.13823689662865915 
data(p106):duty_free_exports(A,y):0.09791305229713368 
data(p106):export_administration_act_south_africa(A,y):-0.412179665773953 
data(p233):handicapped_infants(A,n):0.4551612081800322 
data(p233):water_project_cost_sharing(A,y):1.7625857903922173 
data(p233):budget_resolution(A,y):1.0501081077052803 
data(p233):physician_fee_freeze(A,n):1.3295938077946945 
data(p233):el_salvador_aid(A,n):-0.3215426166042451 
data(p233):religious_groups_in_schools(A,n):-0.28689280420602253 
data(p233):anti_satellite_test_ban(A,y):-0.18650171006246366 
data(p233):aid_to_nicaraguan_contras(A,y):0.4145815707722019 
data(p233):mx_missile(A,n):0.1285746436139436 
data(p233):immigration(A,n):0.6216299692446408 
data(p233):synfuels_corporation_cutback(A,y):0.25240437577026825 
data(p233):education_spending(A,n):1.2015963615199123 
data(p233):superfund_right_to_sue(A,n):0.4510955513366223 
data(p233):crime(A,n):0.15718422936834797 
data(p233):duty_free_exports(A,y):0.10432576921212114 
data(p420):handicapped_infants(A,y):0.1931903520863101 
data(p420):water_project_cost_sharing(A,y):1.7743994141251063 
data(p420):budget_resolution(A,y):1.0792638986503733 
data(p420):physician_fee_freeze(A,n):1.639494956405878 
data(p420):el_salvador_aid(A,n):-0.3324854794339858 
data(p420):religious_groups_in_schools(A,n):-0.29468378313572485 
data(p420):anti_satellite_test_ban(A,y):-0.2165093864856301 
data(p420):aid_to_nicaraguan_contras(A,y):0.4094923316940241 
data(p420):mx_missile(A,y):1.640215984804245 
data(p420):immigration(A,n):0.7096831726852263 
data(p420):synfuels_corporation_cutback(A,n):-1.2889065022779451 
data(p420):education_spending(A,n):1.1307810784372496 
data(p420):superfund_right_to_sue(A,n):0.43392038219849544 
data(p420):crime(A,n):0.23146444752196652 
data(p420):duty_free_exports(A,n):-0.5087041994325182 
data(p420):export_administration_act_south_africa(A,y):-0.40495797385071614 
data(p258):handicapped_infants(A,n):0.48067003468837 
data(p258):water_project_cost_sharing(A,n):-0.10813441525127976 
data(p258):budget_resolution(A,n):-0.9189718772326976 
data(p258):physician_fee_freeze(A,y):-4.875546606648937 
data(p258):el_salvador_aid(A,y):-0.2040834197207329 
data(p258):religious_groups_in_schools(A,n):-0.22583515699865292 
data(p258):anti_satellite_test_ban(A,n):-0.3103978399191881 
data(p258):aid_to_nicaraguan_contras(A,n):2.210449290413555 
data(p258):mx_missile(A,n):0.11737565376833214 
data(p258):immigration(A,n):0.7221516679068102 
data(p258):synfuels_corporation_cutback(A,n):-1.258347711392475 
data(p258):education_spending(A,y):0.925377063255818 
data(p258):superfund_right_to_sue(A,n):0.7359317350846687 
data(p258):crime(A,y):0.04806250100460614 
data(p258):export_administration_act_south_africa(A,y):-0.5332144409248952 
data(p371):handicapped_infants(A,y):0.13769047362919304 
data(p371):water_project_cost_sharing(A,y):1.7937739887145245 
data(p371):budget_resolution(A,y):1.1975318436868032 
data(p371):physician_fee_freeze(A,n):1.7004365001264514 
data(p371):religious_groups_in_schools(A,y):0.27103839947082337 
data(p371):anti_satellite_test_ban(A,y):-0.17678176686729166 
data(p371):aid_to_nicaraguan_contras(A,y):0.4094923316940241 
data(p371):mx_missile(A,n):0.14701426525136896 
data(p371):immigration(A,y):-0.844912121410443 
data(p371):superfund_right_to_sue(A,n):0.41982359166179867 
data(p371):crime(A,n):0.15615609328434413 
data(p371):duty_free_exports(A,y):0.15256411476132037 
data(p371):export_administration_act_south_africa(A,y):-0.3975376753345213 
data(p71):handicapped_infants(A,y):0.2172363341955311 
data(p71):water_project_cost_sharing(A,n):-0.1678540164445633 
data(p71):budget_resolution(A,y):1.119783251489759 
data(p71):physician_fee_freeze(A,n):1.639009201856289 
data(p71):el_salvador_aid(A,n):-0.32029161306299364 
data(p71):religious_groups_in_schools(A,n):-0.2920877847889192 
data(p71):anti_satellite_test_ban(A,y):-0.16104509043277962 
data(p71):aid_to_nicaraguan_contras(A,y):0.4036130306436024 
data(p71):mx_missile(A,y):1.7181316890085647 
data(p71):immigration(A,n):0.599949476372775 
data(p71):synfuels_corporation_cutback(A,n):-1.2252172871629619 
data(p71):education_spending(A,n):1.1741639549406575 
data(p71):superfund_right_to_sue(A,y):-0.08965650878086959 
data(p71):crime(A,n):0.2316895977635152 
data(p71):duty_free_exports(A,y):0.12383453208398462 
data(p351):handicapped_infants(A,n):0.4624734613309379 
data(p351):water_project_cost_sharing(A,y):1.6837419589767644 
data(p351):budget_resolution(A,n):-0.9631681003453929 
data(p351):physician_fee_freeze(A,n):1.433785650960125 
data(p351):el_salvador_aid(A,n):-0.3030934239524031 
data(p351):religious_groups_in_schools(A,y):0.22644167218397745 
data(p351):anti_satellite_test_ban(A,y):-0.1560804901539086 
data(p351):aid_to_nicaraguan_contras(A,n):2.1089482337713785 
data(p351):mx_missile(A,y):1.7918767782634273 
data(p351):immigration(A,n):0.605395629993908 
data(p351):synfuels_corporation_cutback(A,y):0.24787537890561998 
data(p351):education_spending(A,n):1.3234852022791388 
data(p351):superfund_right_to_sue(A,n):0.5347389695700138 
data(p351):crime(A,n):0.1523125318425526 
data(p351):duty_free_exports(A,y):0.1332587102591502 
data(p351):export_administration_act_south_africa(A,y):-0.4378719734955177 
data(p39):handicapped_infants(A,n):0.5447840935379081 
data(p39):water_project_cost_sharing(A,y):1.8758921545155751 
data(p39):budget_resolution(A,n):-1.1280645877137179 
data(p39):physician_fee_freeze(A,y):-4.6914784571257275 
data(p39):el_salvador_aid(A,y):-0.19384554590917438 
data(p39):religious_groups_in_schools(A,y):0.23740516165636757 
data(p39):anti_satellite_test_ban(A,n):-0.2975952359100459 
data(p39):aid_to_nicaraguan_contras(A,n):2.196303704353736 
data(p39):mx_missile(A,n):0.1316734927441191 
data(p39):immigration(A,y):-0.8149699148779977 
data(p39):synfuels_corporation_cutback(A,n):-1.2406282675128646 
data(p39):education_spending(A,y):0.9212886223579018 
data(p39):superfund_right_to_sue(A,y):-0.07007140103465687 
data(p39):crime(A,y):0.05969094126509193 
data(p39):duty_free_exports(A,n):-0.32959026748424036 
data(p39):export_administration_act_south_africa(A,n):0.0048819506204680965 
data(p151):handicapped_infants(A,y):0.14536056149832458 
data(p151):water_project_cost_sharing(A,y):1.8446590847425919 
data(p151):budget_resolution(A,n):-1.1239401923220127 
data(p151):physician_fee_freeze(A,y):-4.874792454198147 
data(p151):el_salvador_aid(A,y):-0.18419551290875263 
data(p151):religious_groups_in_schools(A,y):0.23740516165636757 
data(p151):anti_satellite_test_ban(A,n):-0.3039948411444108 
data(p151):aid_to_nicaraguan_contras(A,n):2.1934690066545732 
data(p151):mx_missile(A,n):0.14049491681089915 
data(p151):immigration(A,y):-0.9033127602947504 
data(p151):synfuels_corporation_cutback(A,n):-1.2205645639734544 
data(p151):education_spending(A,y):0.9234787039155585 
data(p151):superfund_right_to_sue(A,y):-0.06996883613053145 
data(p151):crime(A,y):0.056011307058470905 
data(p151):duty_free_exports(A,n):-0.3551501604917826 
data(p151):export_administration_act_south_africa(A,y):-0.5812048698786437 
data(p431):handicapped_infants(A,n):0.5727557575998743 
data(p431):water_project_cost_sharing(A,n):-0.169568176917867 
data(p431):budget_resolution(A,y):1.5120450543596053 
data(p431):physician_fee_freeze(A,y):-4.989536928426567 
data(p431):el_salvador_aid(A,y):-0.16932013878571522 
data(p431):religious_groups_in_schools(A,y):0.24584614929961193 
data(p431):anti_satellite_test_ban(A,n):-0.18700537085350502 
data(p431):aid_to_nicaraguan_contras(A,n):2.1623545761425267 
data(p431):mx_missile(A,y):1.7486264174850665 
data(p431):immigration(A,y):-0.8158798768293064 
data(p431):synfuels_corporation_cutback(A,n):-1.3475082415604656 
data(p431):education_spending(A,y):0.8519479914981821 
data(p431):superfund_right_to_sue(A,y):-0.04611980744222644 
data(p431):crime(A,y):0.04716411315988375 
data(p431):duty_free_exports(A,n):-0.3967801707601222 
data(p431):export_administration_act_south_africa(A,y):-0.5405858326621324 
data(p164):handicapped_infants(A,n):0.4775052667884737 
data(p164):water_project_cost_sharing(A,y):1.8872697852878948 
data(p164):budget_resolution(A,n):-1.042109513627076 
data(p164):physician_fee_freeze(A,y):-4.866838422028253 
data(p164):el_salvador_aid(A,y):-0.2040834197207329 
data(p164):religious_groups_in_schools(A,y):0.20464388860477015 
data(p164):anti_satellite_test_ban(A,y):-0.1730651293828703 
data(p164):aid_to_nicaraguan_contras(A,n):2.2596108866275317 
data(p164):mx_missile(A,n):0.11069018742596651 
data(p164):immigration(A,n):0.6548663576862275 
data(p164):synfuels_corporation_cutback(A,n):-1.2394748491787542 
data(p164):education_spending(A,y):0.8974453328904078 
data(p164):superfund_right_to_sue(A,y):-0.13302122492201898 
data(p164):crime(A,y):0.07363422010117832 
data(p164):duty_free_exports(A,n):-0.32577501212365745 
data(p164):export_administration_act_south_africa(A,y):-0.6004191789920922 
data(p168):handicapped_infants(A,y):0.11540818096479044 
data(p168):water_project_cost_sharing(A,n):-0.2007959237300141 
data(p168):budget_resolution(A,y):1.2578182626708978 
data(p168):physician_fee_freeze(A,y):-5.046824798961872 
data(p168):el_salvador_aid(A,y):-0.11547853079194043 
data(p168):religious_groups_in_schools(A,y):0.24584614929961193 
data(p168):anti_satellite_test_ban(A,y):-0.22173155939148906 
data(p168):aid_to_nicaraguan_contras(A,y):0.3859174982735203 
data(p168):mx_missile(A,n):0.14823734131225677 
data(p168):immigration(A,y):-0.8582565697181544 
data(p168):synfuels_corporation_cutback(A,y):0.7579775365505237 
data(p168):education_spending(A,y):0.932564069394577 
data(p168):superfund_right_to_sue(A,n):0.4547437317997179 
data(p168):crime(A,y):0.030439587961898766 
data(p168):duty_free_exports(A,y):0.15277525941139772 
data(p168):export_administration_act_south_africa(A,y):-0.5320142647508377 
data(p273):handicapped_infants(A,y):0.09200333225930435 
data(p273):water_project_cost_sharing(A,n):-0.17587100619560783 
data(p273):budget_resolution(A,y):1.039176184572698 
data(p273):physician_fee_freeze(A,n):1.704821055494428 
data(p273):el_salvador_aid(A,n):-0.3226001521300871 
data(p273):religious_groups_in_schools(A,n):-0.2920877847889192 
data(p273):anti_satellite_test_ban(A,y):-0.1730052587130008 
data(p273):aid_to_nicaraguan_contras(A,y):0.4036130306436024 
data(p273):mx_missile(A,y):1.7070020066524878 
data(p273):immigration(A,y):-0.8503814279377055 
data(p273):synfuels_corporation_cutback(A,n):-1.26623264853443 
data(p273):education_spending(A,n):1.133982480853643 
data(p273):superfund_right_to_sue(A,n):0.3895603171137955 
data(p273):crime(A,n):0.2316895977635152 
data(p273):duty_free_exports(A,y):0.15237372056514548 
data(p305):handicapped_infants(A,n):0.5447840935379081 
data(p305):water_project_cost_sharing(A,y):1.8927980350825584 
data(p305):budget_resolution(A,n):-1.1280645877137179 
data(p305):physician_fee_freeze(A,y):-4.6914784571257275 
data(p305):el_salvador_aid(A,y):-0.19384554590917438 
data(p305):religious_groups_in_schools(A,y):0.23740516165636757 
data(p305):anti_satellite_test_ban(A,n):-0.2975952359100459 
data(p305):aid_to_nicaraguan_contras(A,n):2.196303704353736 
data(p305):mx_missile(A,n):0.1316734927441191 
data(p305):immigration(A,y):-0.8149699148779977 
data(p305):synfuels_corporation_cutback(A,n):-1.2304518359944436 
data(p305):education_spending(A,y):0.9212886223579018 
data(p305):superfund_right_to_sue(A,y):-0.07007140103465687 
data(p305):crime(A,y):0.05969094126509193 
data(p305):duty_free_exports(A,n):-0.3292357357551935 
data(p239):handicapped_infants(A,y):0.12123070419976388 
data(p239):water_project_cost_sharing(A,y):1.714706872335418 
data(p239):budget_resolution(A,y):1.0935191940178937 
data(p239):physician_fee_freeze(A,n):1.6872608104320368 
data(p239):el_salvador_aid(A,n):-0.32707508708940114 
