data(p87):a1(A,1):-0.29557053869733513 
data(p41):a20(A,0):-0.07508811445864891 
data(p41):a21(A,0):-0.9284077015320593 
data(p41):a22(A,0):0.07212298544388514 
data(p41):a23(A,1):-0.7745016604926505 
data(p41):a24(A,2):0.3412102929341927 
data(p41):a25(A,1):-0.015444948060498028 
data(p41):a26(A,1):-0.04202447093644048 
data(p41):a27(A,1):-0.4893254216486869 
data(p41):a28(A,2):0.09989716281416008 
data(p41):a29(A,3):0.409582365959399 
data(p41):a30(A,3):0.09387659436203838 
data(p41):a31(A,3):-0.35000933924347766 
data(p41):a32(A,3):-0.22955739664504285 
data(p41):a33(A,3):0.062160980235414796 
data(p41):a34(A,2):-0.11391094915796722 
data(p41):a35(A,2):-0.5857429652460043 
data(p41):a36(A,2):-0.533152420234228 
data(p41):a37(A,1):0.11157891100781066 
data(p41):a38(A,0):-0.3209601530630976 
data(p41):a39(A,0):-0.3151105414980444 
data(p41):a40(A,0):0.2672887589136683 
data(p41):a41(A,0):-0.20600845578495922 
data(p41):a42(A,1):-0.12205054538587226 
data(p41):a43(A,2):0.025576717572173065 
data(p41):a44(A,1):-0.31714828461477546 
data(p41):a45(A,0):-0.27838579291704757 
data(p41):a46(A,0):-0.6089243140180784 
data(p41):a47(A,0):-0.1139375180330102 
data(p41):a48(A,0):-1.3280404174162526 
data(p41):a49(A,0):-0.2835609491661003 
data(p41):a50(A,2):-0.23642419728664213 
data(p41):a51(A,2):0.8355330037481755 
data(p41):a52(A,3):0.902718802934734 
data(p41):a53(A,3):-0.02955809782899873 
data(p41):a54(A,1):0.13391020400826978 
data(p41):a55(A,1):0.4419063269263291 
data(p41):a56(A,1):-0.1511701049352118 
data(p41):a57(A,1):0.14638810569403796 
data(p41):a58(A,1):-0.17159753493869545 
data(p41):a59(A,3):0.09672229953817466 
data(p41):a60(A,3):0.1800557592020146 
data(p70):a1(A,1):-0.231294480602509 
data(p70):a2(A,1):0.027622565778211414 
data(p70):a3(A,1):0.06961580511734093 
data(p70):a4(A,0):-0.40796257497983884 
data(p70):a5(A,0):-0.49891747018813093 
data(p70):a6(A,1):-0.15570871561307092 
data(p70):a7(A,1):0.014139136095082758 
data(p70):a8(A,1):0.2782564422326744 
data(p70):a9(A,1):-0.38087218804276424 
data(p70):a10(A,0):-0.7206062612296821 
data(p70):a11(A,0):-0.48819085112464955 
data(p70):a12(A,0):-0.7096458718969402 
data(p70):a13(A,0):-0.4415970678202637 
data(p70):a14(A,1):-0.2153277797030893 
data(p70):a15(A,1):0.49155087163483124 
data(p70):a16(A,1):-0.038570352792514764 
data(p70):a17(A,0):0.056215242986235606 
data(p70):a18(A,0):0.16579369531391627 
data(p70):a19(A,0):0.28115154264400544 
data(p70):a20(A,0):-0.023466911396618908 
data(p70):a21(A,0):-0.9172098547481368 
data(p70):a22(A,0):0.1391765512119882 
data(p70):a23(A,0):-1.008222357221144 
data(p70):a24(A,0):-0.3370114744833429 
data(p70):a25(A,2):-0.02586704445459281 
data(p70):a26(A,3):-0.10005235903460814 
data(p70):a27(A,2):0.11293759166920539 
data(p70):a28(A,1):-0.39114838034234356 
data(p70):a29(A,1):-0.46512698594004154 
data(p70):a30(A,1):-0.10658138237812621 
data(p70):a31(A,1):0.23332696575575426 
data(p70):a32(A,0):0.15219883665964165 
data(p70):a33(A,0):-0.15407792136782272 
data(p70):a34(A,0):0.08817559107850963 
data(p70):a35(A,1):0.43804013001041664 
data(p70):a36(A,1):0.6593900378185739 
data(p70):a37(A,0):0.08465484768588141 
data(p70):a38(A,0):-0.30741237270276517 
data(p70):a39(A,0):-0.42935737263312324 
data(p70):a40(A,0):0.22464929769250921 
data(p70):a41(A,1):-0.22797319883021136 
data(p70):a42(A,1):-0.12886612964346555 
data(p70):a43(A,1):-0.27887854231092774 
data(p70):a44(A,0):-0.4477309800339966 
data(p70):a45(A,0):-0.2251490279651732 
data(p70):a46(A,0):-0.6294527422716454 
data(p70):a47(A,0):-0.11452702349432775 
data(p70):a48(A,1):-0.07208830524422792 
data(p70):a49(A,1):0.11351608661571452 
data(p70):a50(A,1):0.25744588596633033 
data(p70):a51(A,0):-1.1479078258857256 
data(p70):a52(A,2):0.739577318444698 
data(p70):a53(A,0):0.000116383241369011 
data(p70):a54(A,0):0.19184940346649093 
data(p70):a55(A,1):0.4589537028099188 
data(p70):a56(A,0):0.08816678675202853 
data(p70):a57(A,1):0.13931442501673752 
data(p70):a58(A,0):-0.2917959822312812 
data(p70):a59(A,0):0.022496780242098453 
data(p70):a60(A,0):-0.007057750678018134 
data(p163):a1(A,1):-0.2251862699498849 
data(p163):a2(A,0):0.09305957308486353 
data(p163):a3(A,2):-0.04204169805295279 
data(p163):a4(A,1):-0.3973942459296283 
data(p163):a5(A,1):0.09994698845334624 
data(p163):a6(A,0):-0.13622385584499125 
data(p163):a7(A,0):0.006165297409633709 
data(p163):a8(A,1):0.3155225579339847 
data(p163):a9(A,1):-0.2675467524534555 
data(p163):a10(A,2):0.6575883905480816 
data(p163):a11(A,2):0.38663174234836784 
data(p163):a12(A,1):-0.4481113552358026 
data(p163):a13(A,0):-0.3513061289079287 
data(p163):a14(A,0):-0.14906635772447815 
data(p163):a15(A,1):0.5142873679858992 
data(p163):a16(A,1):0.0899350954854186 
data(p163):a17(A,1):0.06104694764545934 
data(p163):a18(A,2):-0.13572801014030972 
data(p163):a19(A,1):0.2604479894343034 
data(p163):a20(A,1):-0.03967891568553709 
data(p163):a21(A,1):-1.0010595025539184 
data(p163):a22(A,1):0.10675174014758035 
data(p163):a23(A,2):0.680207477822267 
data(p163):a24(A,2):0.3572841383757588 
data(p163):a25(A,3):0.052326796694187876 
data(p163):a26(A,2):-0.09122523442784312 
data(p163):a27(A,2):0.2579871120894828 
data(p163):a28(A,1):-0.3708578923953782 
data(p163):a29(A,1):-0.47827997510093034 
data(p163):a30(A,1):-0.13456272132809236 
data(p163):a31(A,2):-0.286922112231504 
data(p163):a32(A,2):-0.17182968195334405 
data(p163):a33(A,2):0.17966863532326913 
data(p163):a34(A,2):-0.09969295153389189 
data(p163):a35(A,2):-0.5096304659064013 
data(p163):a36(A,1):0.7926726258111145 
data(p163):a37(A,0):0.1709704764939334 
data(p163):a38(A,0):-0.3369164268298831 
data(p163):a39(A,1):-0.07391303164718217 
data(p163):a40(A,2):-0.21612344969848596 
data(p163):a41(A,3):0.19432612116708795 
data(p163):a42(A,3):0.15939909058877916 
data(p163):a43(A,3):0.3784249188263297 
data(p163):a44(A,3):0.5339178414736534 
data(p163):a45(A,2):0.0026481575318404683 
data(p163):a46(A,2):0.23904887563117794 
data(p163):a47(A,3):0.21707897035209253 
data(p163):a48(A,3):0.603963281992391 
data(p163):a49(A,3):0.0778933263070965 
data(p163):a50(A,2):-0.23732434427532342 
data(p163):a51(A,2):1.0252811898865422 
data(p163):a52(A,2):0.9048429242185371 
data(p163):a53(A,1):0.07410663013430001 
data(p163):a54(A,0):0.2229163521871133 
data(p163):a55(A,0):0.7118460683852463 
data(p163):a56(A,1):-0.1679251002225852 
data(p163):a57(A,0):0.050838985881481065 
data(p163):a58(A,0):-0.30948356747232875 
data(p163):a59(A,0):0.028687810217525866 
data(p163):a60(A,1):0.04443969558922236 
data(p108):a1(A,3):0.3730172270324376 
data(p108):a2(A,3):-0.006907375694628992 
data(p108):a3(A,3):-0.1380461662011721 
data(p108):a4(A,2):0.13277856040079655 
data(p108):a5(A,3):0.21582577415124082 
data(p108):a6(A,3):0.13420950442207702 
data(p108):a7(A,3):-0.05971605605917523 
data(p108):a8(A,0):0.32295812259307216 
data(p108):a9(A,0):-1.081678992669785 
data(p108):a10(A,0):-0.4564013620066329 
data(p108):a11(A,0):-0.3625903281412764 
data(p108):a12(A,1):-0.4401823122077218 
data(p108):a13(A,2):0.2860244531549324 
data(p108):a14(A,2):0.31728641918317885 
data(p108):a15(A,2):0.11832710408099706 
data(p108):a16(A,3):-0.22457935454410485 
data(p108):a17(A,2):0.13779600483095913 
data(p108):a18(A,3):-0.093218484248905 
data(p108):a19(A,3):-0.23390608899991103 
data(p108):a20(A,3):0.06524858988654478 
data(p108):a21(A,3):1.6649380386112178 
data(p108):a22(A,2):-0.07575919367785534 
data(p108):a23(A,2):0.7144982369285933 
data(p108):a24(A,3):0.30043717718247226 
data(p108):a25(A,2):-0.04294000738465683 
data(p108):a26(A,1):0.011798697192676674 
data(p108):a27(A,0):0.12054419582172915 
data(p108):a28(A,0):-0.12737893354256316 
data(p108):a29(A,0):-0.1957733038816129 
data(p108):a30(A,0):-0.128419147069547 
data(p108):a31(A,0):0.4006459669974538 
data(p108):a32(A,2):-0.22218978146980664 
data(p108):a33(A,2):0.16275627916454413 
data(p108):a34(A,2):-0.07420062443480664 
data(p108):a35(A,2):-0.49853064430504734 
data(p108):a36(A,2):-0.34124681970572057 
data(p108):a37(A,2):0.17450127816489922 
data(p108):a38(A,2):0.39928024747832097 
data(p108):a39(A,2):0.31898529821087435 
data(p108):a40(A,3):-0.337178814034112 
data(p108):a41(A,2):0.26527805820634565 
data(p108):a42(A,2):0.1516453632751199 
data(p108):a43(A,2):0.15298465078830578 
data(p108):a44(A,2):0.34313932699811694 
data(p108):a45(A,2):0.009117041434315284 
data(p108):a46(A,2):0.20767180976662789 
data(p108):a47(A,1):0.0023628982885967147 
data(p108):a48(A,1):0.0014506240836223085 
data(p108):a49(A,2):0.02366980268935271 
data(p108):a50(A,1):0.2645490217217841 
data(p108):a51(A,0):-1.1800604985663483 
data(p108):a52(A,2):0.8431133753702645 
data(p108):a53(A,3):0.05674203479992533 
data(p108):a54(A,1):0.1174706905508212 
data(p108):a55(A,1):0.5649501278717779 
data(p108):a56(A,3):0.20089874710808586 
data(p108):a57(A,2):-0.10398259112069072 
data(p108):a58(A,2):0.21645659079085666 
data(p108):a59(A,3):0.13931491599387769 
data(p108):a60(A,1):-0.03751933385070101 
data(p145):a1(A,2):0.24601834991187124 
data(p145):a2(A,3):0.032461505803013053 
data(p145):a3(A,3):-0.040121515489172276 
data(p145):a4(A,3):0.7085924236230435 
data(p145):a5(A,2):0.21739596106616063 
data(p145):a6(A,0):-0.163796707711228 
data(p145):a7(A,0):0.014024801048254355 
data(p145):a8(A,1):0.3110968840946586 
data(p145):a9(A,2):0.6683110309454732 
data(p145):a10(A,0):-0.5765361909758517 
data(p145):a11(A,0):-0.4233042045570434 
data(p145):a12(A,0):-0.5514293026160033 
data(p145):a13(A,2):0.28189042632709516 
data(p145):a14(A,2):0.3102475651868976 
data(p145):a15(A,2):0.06625656360804374 
data(p145):a16(A,2):0.28938586253776116 
data(p145):a17(A,2):0.1009168873116313 
data(p145):a18(A,1):0.10740035577878268 
data(p145):a19(A,0):0.33727306235261756 
data(p145):a20(A,0):-0.05300167221704762 
data(p145):a21(A,0):-0.9015047479765019 
data(p145):a22(A,1):0.10326518413332637 
data(p145):a23(A,1):-0.742193169792649 
data(p145):a24(A,0):-0.3006579493487166 
data(p145):a25(A,0):0.026499649416613473 
data(p145):a26(A,0):0.1974398417138866 
data(p145):a27(A,0):-0.09812619084654614 
data(p145):a28(A,1):-0.28332304298382 
data(p145):a29(A,2):0.18094517884208308 
data(p145):a30(A,2):0.13992349734099793 
data(p145):a31(A,3):-0.34268009814025124 
data(p145):a32(A,3):-0.2780535638872543 
data(p145):a33(A,3):-0.01584277525728959 
data(p145):a34(A,2):-0.09414302388823732 
data(p145):a35(A,2):-0.41936342025240164 
data(p145):a36(A,1):0.7630205572592406 
data(p145):a37(A,0):0.14297158323059003 
data(p145):a38(A,1):-0.30119109262004806 
data(p145):a39(A,1):-0.08461507676723967 
data(p145):a40(A,0):0.26962320727986205 
data(p145):a41(A,3):0.21584464435589032 
data(p145):a42(A,3):0.15210614142712983 
data(p145):a43(A,3):0.43625067504134335 
data(p145):a44(A,3):0.5146514884090342 
data(p145):a45(A,3):0.5210549763561217 
data(p145):a46(A,3):0.27247725999892813 
data(p145):a47(A,3):0.18348472041979863 
data(p145):a48(A,3):0.558768426812274 
data(p145):a49(A,3):0.16017411795335743 
data(p145):a50(A,3):-0.321767434143038 
data(p145):a51(A,3):1.0433476183521802 
data(p145):a52(A,3):1.0186794417258167 
data(p145):a53(A,3):-0.0029613111578452958 
data(p145):a54(A,3):-0.03014538116693622 
data(p145):a55(A,2):-0.5677381661711576 
data(p145):a56(A,1):-0.1515105340314118 
data(p145):a57(A,3):-0.10142017233553749 
data(p145):a58(A,3):0.27536887759428935 
data(p145):a59(A,3):0.07978913489066355 
data(p145):a60(A,0):-0.0012368249307967965 
data(p157):a1(A,0):-0.455862068170959 
data(p157):a2(A,0):0.09692687471134769 
data(p157):a3(A,0):0.07349550521214349 
data(p157):a4(A,2):0.2143316269786375 
data(p157):a5(A,2):0.2202214931365606 
data(p157):a6(A,2):0.14385762786967138 
data(p157):a7(A,3):-0.0728120073539606 
data(p157):a8(A,2):-0.194777870797939 
data(p157):a9(A,3):0.7905595220189612 
data(p157):a10(A,3):0.7277435209877191 
data(p157):a11(A,3):0.38831000634126756 
data(p157):a12(A,2):0.5312118283424984 
data(p157):a13(A,1):0.05450018198091346 
data(p157):a14(A,0):-0.14023135840279402 
data(p157):a15(A,1):0.5635672552175081 
data(p157):a16(A,1):0.09316038251899153 
data(p157):a17(A,0):0.20027382219541048 
data(p157):a18(A,0):0.2245465131761946 
data(p157):a19(A,0):0.3545867462372405 
data(p157):a20(A,0):-0.06749617878882479 
data(p157):a21(A,0):-0.7615241440475521 
data(p157):a22(A,0):0.15932484047658596 
data(p157):a23(A,1):-0.6943718028704957 
data(p157):a24(A,1):-0.3203794094892084 
data(p157):a25(A,2):-0.007120485347728018 
data(p157):a26(A,2):-0.08458269283122163 
data(p157):a27(A,3):0.381696046007734 
data(p157):a28(A,3):0.33901906746484667 
data(p157):a29(A,3):0.41514813595445116 
data(p157):a30(A,3):0.09941301512073189 
data(p157):a31(A,3):-0.3062765936331992 
data(p157):a32(A,3):-0.20453813693028935 
data(p157):a33(A,3):0.013108774418035015 
data(p157):a34(A,3):-0.09332672531762672 
data(p157):a35(A,3):-0.45378754182609415 
data(p157):a36(A,3):-1.2793172373966228 
data(p157):a37(A,3):-0.3391124143462922 
data(p157):a38(A,3):0.3350933636561675 
data(p157):a39(A,2):0.3029540078990575 
data(p157):a40(A,2):-0.22253492776406497 
data(p157):a41(A,3):0.21406199262622203 
data(p157):a42(A,3):0.15304174189817393 
data(p157):a43(A,3):0.3545481275385874 
data(p157):a44(A,3):0.48057330311273555 
data(p157):a45(A,3):0.6146693710832836 
data(p157):a46(A,3):0.5324364963802859 
data(p157):a47(A,3):0.15702233393644366 
data(p157):a48(A,3):0.5370673657118741 
data(p157):a49(A,3):0.11904042897590693 
data(p157):a50(A,2):-0.24501427946776974 
data(p157):a51(A,1):-0.6573713497364922 
data(p157):a52(A,1):-0.4854721481184946 
data(p157):a53(A,2):-0.024053831054619994 
data(p157):a54(A,1):0.16955211733622771 
data(p157):a55(A,0):0.6495431401978218 
data(p157):a56(A,1):-0.11844222580467767 
data(p157):a57(A,2):-0.08133546998674708 
data(p157):a58(A,1):-0.16055947182727215 
data(p157):a59(A,0):0.0439087907765849 
data(p157):a60(A,0):0.03198971466462524 
data(p24):a1(A,0):-0.4135262084809973 
data(p24):a2(A,0):0.06976298486772747 
data(p24):a3(A,0):0.06773038581004194 
data(p24):a4(A,0):-0.4162340138095993 
data(p24):a5(A,0):-0.40790909396236424 
data(p24):a6(A,2):0.26869027309974736 
data(p24):a7(A,1):0.012840335805950807 
data(p24):a8(A,0):0.2884175776090393 
data(p24):a9(A,0):-1.020468696949459 
data(p24):a10(A,0):-0.6923935605580849 
data(p24):a11(A,0):-0.39752139740539266 
data(p24):a12(A,0):-0.5411856606990855 
data(p24):a13(A,0):-0.28265770284918484 
data(p24):a14(A,0):-0.2017788997383907 
data(p24):a15(A,1):0.47578892527871386 
data(p24):a16(A,1):-0.038196514081270186 
data(p24):a17(A,2):0.0712751042856318 
data(p24):a18(A,2):-0.13763549777240883 
data(p24):a19(A,1):0.234567605604927 
data(p24):a20(A,1):-0.03485567140336709 
data(p24):a21(A,1):-1.078218377599348 
data(p24):a22(A,1):0.03246676829774315 
data(p24):a23(A,0):-0.9213563487677511 
data(p24):a24(A,0):-0.32471380683641804 
data(p24):a25(A,0):0.0025596320638535276 
data(p24):a26(A,0):0.16252124799589127 
data(p24):a27(A,2):0.18871569519669587 
data(p24):a28(A,3):0.3355475536535598 
data(p24):a29(A,3):0.42076045665435896 
data(p24):a30(A,3):0.12897868811367397 
data(p24):a31(A,3):-0.3119497545381861 
data(p24):a32(A,3):-0.24937699004059008 
data(p24):a33(A,3):0.03747938449875007 
data(p24):a34(A,3):-0.07785665485649468 
data(p24):a35(A,2):-0.44159418257524985 
data(p24):a36(A,3):-1.444434061166812 
data(p24):a37(A,3):-0.4296834428828697 
data(p24):a38(A,2):0.2230044359020959 
data(p24):a39(A,0):-0.35814377739525893 
data(p24):a40(A,0):0.24223902274823886 
data(p24):a41(A,0):-0.287123583679823 
data(p24):a42(A,1):-0.14118310131509001 
data(p24):a43(A,2):0.04547224606359413 
data(p24):a44(A,3):0.5559433547161468 
data(p24):a45(A,3):0.5530170115995827 
data(p24):a46(A,2):0.12069728842062342 
data(p24):a47(A,1):-0.09954532005473722 
data(p24):a48(A,2):0.24610309233159675 
data(p24):a49(A,3):0.1416260429766239 
data(p24):a50(A,1):0.28132800924807283 
data(p24):a51(A,1):-0.580897963831071 
data(p24):a52(A,1):-0.5883603324385209 
data(p24):a53(A,0):-0.009632337485480905 
data(p24):a54(A,1):0.11836178895881644 
data(p24):a55(A,1):0.48485927536004547 
data(p24):a56(A,0):0.05333317200051005 
data(p24):a57(A,0):0.08776449645404318 
data(p24):a58(A,1):-0.15673703231024402 
data(p24):a59(A,2):-0.02078322943292208 
data(p24):a60(A,1):0.01403147139503802 
data(p154):a1(A,2):0.21263665411041813 
data(p154):a2(A,2):-0.07090146412248018 
data(p154):a3(A,2):-0.050876748831216144 
data(p154):a4(A,2):0.2334593630441374 
data(p154):a5(A,2):0.191862548559229 
data(p154):a6(A,3):0.1403104703741439 
data(p154):a7(A,3):-0.04787718696690148 
data(p154):a8(A,2):-0.1956734211577496 
data(p154):a9(A,2):0.7448501650769837 
data(p154):a10(A,2):0.7305832718725769 
data(p154):a11(A,0):-0.33780209593727656 
data(p154):a12(A,0):-0.5370278738148779 
data(p154):a13(A,1):0.035900869331068314 
data(p154):a14(A,2):0.33250861729952863 
data(p154):a15(A,3):-1.1151555035288836 
data(p154):a16(A,3):-0.1891499703967436 
data(p154):a17(A,3):-0.14918935815316955 
data(p154):a18(A,3):-0.12981112502741757 
data(p154):a19(A,3):-0.25489721709916596 
data(p154):a20(A,3):0.1018035028127508 
data(p154):a21(A,3):1.3644883680015092 
data(p154):a22(A,3):-0.1390083163303335 
data(p154):a23(A,3):1.102574743843796 
data(p154):a24(A,1):-0.32138940197686544 
data(p154):a25(A,0):0.05536204468403229 
data(p154):a26(A,0):0.27546585347070734 
data(p154):a27(A,0):0.15677760017834105 
data(p154):a28(A,1):-0.2819377148976037 
data(p154):a29(A,2):0.24010644653357968 
data(p154):a30(A,2):0.1657013603793732 
data(p154):a31(A,1):0.26742277707014345 
data(p154):a32(A,1):0.28722751306506256 
data(p154):a33(A,2):0.16039824880165354 
data(p154):a34(A,2):-0.14780519264704847 
data(p154):a35(A,1):0.4534814281267762 
data(p154):a36(A,0):1.2551445838056021 
data(p154):a37(A,0):0.19082634611941848 
data(p154):a38(A,0):-0.4055242481214947 
data(p154):a39(A,0):-0.4654492739448012 
data(p154):a40(A,0):0.35892429514645724 
data(p154):a41(A,1):-0.14740825190395943 
data(p154):a42(A,1):-0.10586641889701184 
data(p154):a43(A,0):-0.25831272462939886 
data(p154):a44(A,1):-0.2656226039790688 
data(p154):a45(A,2):0.0337905558805124 
data(p154):a46(A,1):0.12225819450759762 
data(p154):a47(A,2):-0.014642793963322024 
data(p154):a48(A,2):0.3569858645313384 
data(p154):a49(A,2):0.017837991168911972 
data(p154):a50(A,2):-0.24002851564860792 
data(p154):a51(A,0):-1.1631515727278436 
data(p154):a52(A,1):-0.5770891768886122 
data(p154):a53(A,1):0.05259474571642983 
data(p154):a54(A,0):0.18344476822145248 
data(p154):a55(A,0):0.6950583394547533 
data(p154):a56(A,1):-0.13143068249114298 
data(p154):a57(A,1):0.1407996395992717 
data(p154):a58(A,2):0.24611415209471657 
data(p154):a59(A,2):0.039157865685282046 
data(p154):a60(A,0):-0.0571102823968845 
data(p46):a1(A,3):0.33229371714998085 
data(p46):a2(A,3):-0.07429705102144189 
data(p46):a3(A,2):-0.04253127592952872 
data(p46):a4(A,2):0.09823995673179715 
data(p46):a5(A,1):0.012538777757929342 
data(p46):a6(A,3):0.1241268779604441 
data(p46):a7(A,2):0.05903353520994471 
data(p46):a8(A,1):0.29217956877338286 
data(p46):a9(A,0):-1.075099399525236 
data(p46):a10(A,2):0.4290427366554358 
data(p46):a11(A,2):0.1996451654999593 
data(p46):a12(A,3):0.46233743610688693 
data(p46):a13(A,2):0.18114151059133257 
data(p46):a14(A,1):-0.2007075393963092 
data(p46):a15(A,2):0.07478876619387795 
data(p46):a16(A,2):0.2366827256299022 
data(p46):a17(A,2):0.06379142682954453 
data(p46):a18(A,2):-0.17685122536038286 
data(p46):a19(A,2):-0.3207291214519314 
data(p46):a20(A,3):0.022626019439352333 
data(p46):a21(A,3):1.345603137526841 
data(p46):a22(A,2):-0.09921308361724057 
data(p46):a23(A,2):0.5489715503797487 
data(p46):a24(A,2):0.33377668589379894 
data(p46):a25(A,2):0.008761540959499579 
data(p46):a26(A,2):-0.09983273972641302 
data(p46):a27(A,2):0.04008308156795971 
data(p46):a28(A,1):-0.29300071916065545 
data(p46):a29(A,0):-0.23597780006312585 
data(p46):a30(A,0):-0.13632532730614386 
data(p46):a31(A,0):0.3664775381809374 
data(p46):a32(A,3):-0.2596837890031562 
data(p46):a33(A,3):0.005179214238137152 
data(p46):a34(A,3):-0.09470755255884118 
data(p46):a35(A,3):-0.5132353762094647 
data(p46):a36(A,3):-1.4013618938621557 
data(p46):a37(A,3):-0.3528663598126311 
data(p46):a38(A,0):-0.5356510834543975 
data(p46):a39(A,2):0.2829568699488919 
data(p46):a40(A,3):-0.3900394743176545 
data(p46):a41(A,3):0.19167551516406942 
data(p46):a42(A,3):0.16025973254278011 
data(p46):a43(A,3):0.25453597836111785 
data(p46):a44(A,3):0.5240941647378117 
data(p46):a45(A,2):-0.017697994595025315 
data(p46):a46(A,0):-0.8029351653811796 
data(p46):a47(A,1):-0.02487218272073738 
data(p46):a48(A,0):-0.802778737860764 
data(p46):a49(A,2):-0.05881187120050017 
data(p46):a50(A,2):-0.2617044718625664 
data(p46):a51(A,0):-1.074682505138888 
data(p46):a52(A,0):-1.1320287784532184 
data(p46):a53(A,2):-0.05605865686405845 
data(p46):a54(A,3):-0.04773812961516118 
data(p46):a55(A,1):0.5836866081082573 
data(p46):a56(A,3):0.194206029255474 
data(p46):a57(A,3):-0.07031989599347148 
data(p46):a58(A,2):0.16233125257632938 
data(p46):a59(A,2):-0.027567916517074218 
data(p46):a60(A,2):-0.19925136448348896 
data(p124):a1(A,2):0.21431115896038946 
data(p124):a2(A,0):0.07093924824350302 
data(p124):a3(A,1):0.08426859520721766 
data(p124):a4(A,1):-0.3985404428552765 
data(p124):a5(A,2):0.2349406901483306 
data(p124):a6(A,2):0.15486340057338072 
data(p124):a7(A,2):0.058367780674516395 
data(p124):a8(A,2):-0.21350135922300364 
data(p124):a9(A,2):0.6441782663221205 
data(p124):a10(A,2):0.6107324167289812 
data(p124):a11(A,1):-0.23000664983651073 
data(p124):a12(A,1):-0.4867442195334386 
data(p124):a13(A,2):0.2604773620898704 
data(p124):a14(A,3):0.04612295440764224 
data(p124):a15(A,3):-1.0422634577074428 
data(p124):a16(A,3):-0.17078921199792715 
data(p124):a17(A,3):-0.15239157669399758 
data(p124):a18(A,3):-0.12543288522742352 
data(p124):a19(A,2):-0.31480202408101104 
data(p124):a20(A,2):0.014111830139090894 
data(p124):a21(A,2):0.7530442701306925 
data(p124):a22(A,3):-0.11819286110001727 
data(p124):a23(A,3):0.9875653308815832 
data(p124):a24(A,3):0.2905981543612584 
data(p124):a25(A,3):-0.016523122568636243 
data(p124):a26(A,3):-0.09542058594240543 
data(p124):a27(A,2):0.19971936933448606 
data(p124):a28(A,2):0.1685341574417933 
data(p124):a29(A,2):0.2415569334704206 
data(p124):a30(A,1):-0.09648322337440994 
data(p124):a31(A,1):0.2725992275222788 
data(p124):a32(A,1):0.33264551147554183 
data(p124):a33(A,0):-0.1409679203844883 
data(p124):a34(A,0):0.09304972499780216 
data(p124):a35(A,0):0.5017618923852887 
data(p124):a36(A,0):1.3433807953533399 
data(p124):a37(A,1):0.21342722233552716 
data(p124):a38(A,1):-0.33990917612743354 
data(p124):a39(A,1):-0.09855033270990736 
data(p124):a40(A,1):0.3632273010914923 
data(p124):a41(A,1):-0.16722236131836324 
data(p124):a42(A,1):-0.09447114288380587 
data(p124):a43(A,1):-0.21621768260642066 
data(p124):a44(A,1):-0.2845727782625026 
data(p124):a45(A,1):-0.27243163382329433 
data(p124):a46(A,1):0.12084903303695144 
data(p124):a47(A,2):-0.020601101239941754 
data(p124):a48(A,2):0.40866492531948967 
data(p124):a49(A,2):0.03005187724534739 
data(p124):a50(A,3):-0.4035503379163551 
data(p124):a51(A,2):0.975108044433609 
data(p124):a52(A,3):0.9463118584995408 
data(p124):a53(A,3):-0.021318153718825728 
data(p124):a54(A,1):0.14386774467537627 
data(p124):a55(A,1):0.51056029729366 
data(p124):a56(A,2):-0.008686310654763493 
data(p124):a57(A,3):-0.09099895213134068 
data(p124):a58(A,2):0.25833588237051275 
data(p124):a59(A,3):0.10004342374569122 
data(p124):a60(A,3):0.20811428869348972 
data(p68):a1(A,3):0.34954795043714276 
data(p68):a2(A,2):-0.10961592400192242 
data(p68):a3(A,1):0.06709308640315155 
data(p68):a4(A,1):-0.47082211776551214 
data(p68):a5(A,2):0.17093764009127538 
data(p68):a6(A,3):0.13771710446436947 
data(p68):a7(A,2):0.05233005926778334 
data(p68):a8(A,0):0.3163440962346078 
data(p68):a9(A,0):-1.0482738757150047 
data(p68):a10(A,0):-0.7006229574433868 
data(p68):a11(A,0):-0.410303258933748 
data(p68):a12(A,2):0.5360420926021063 
data(p68):a13(A,0):-0.29190685455545234 
data(p68):a14(A,0):-0.19812036983175624 
data(p68):a15(A,0):0.4437609643106717 
data(p68):a16(A,0):-0.02180205481591798 
data(p68):a17(A,0):0.017370386641516473 
data(p68):a18(A,0):0.21309160597116336 
data(p68):a19(A,0):0.3022093824195131 
data(p68):a20(A,0):-0.04979596895610682 
data(p68):a21(A,0):-1.1739619338932348 
data(p68):a22(A,0):0.16595435113427398 
data(p68):a23(A,0):-0.9466909272405392 
data(p68):a24(A,0):-0.33512258993597954 
data(p68):a25(A,0):-0.0112822052352926 
data(p68):a26(A,0):0.14216612335414955 
data(p68):a27(A,0):0.022151793374735038 
data(p68):a28(A,1):-0.3596901759657186 
data(p68):a29(A,2):0.17005241960518733 
data(p68):a30(A,2):0.11652814169773637 
data(p68):a31(A,3):-0.33398940317003867 
data(p68):a32(A,2):-0.2296547735025158 
data(p68):a33(A,3):-0.04689109326630527 
data(p68):a34(A,3):-0.10475878255164216 
data(p68):a35(A,3):-0.4092502176321182 
data(p68):a36(A,3):-1.3997213275952418 
data(p68):a37(A,3):-0.3927407551575019 
data(p68):a38(A,3):0.38211851894296195 
data(p68):a39(A,3):0.21704941560539595 
data(p68):a40(A,3):-0.23096882256770318 
data(p68):a41(A,3):0.2408147703120008 
data(p68):a42(A,3):0.1409068912453431 
