id,cap_shape,cap_surface,cap_color,bruises,odor,gill_attachment,gill_spacing,gill_size,gill_color,stalk_shape,stalk_root,stalk_surface_above_ring,stalk_surface_below_ring,stalk_color_above_ring,stalk_color_below_ring,veil_type,veil_color,ring_number,ring_type,spore_print_color,population,habitat,label
1562,f,s,g,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,s,g,e
1563,x,f,n,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,a,g,e
1564,x,f,n,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,n,v,d,e
1565,b,y,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,e
1566,x,f,g,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,n,v,d,e
1567,f,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,s,g,p
1568,x,s,w,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g,e
1569,f,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u,p
1570,f,s,n,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,a,g,e
1571,f,f,n,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,k,a,g,e
1572,x,f,w,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,k,a,g,e
1573,x,f,n,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,a,g,e
1574,f,s,n,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,n,s,g,e
1575,x,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g,e
1576,f,s,w,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,k,a,g,e
1577,x,s,w,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,s,g,e
1578,x,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g,p
1579,f,f,g,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,a,g,e
1580,f,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,g,p
1581,f,f,w,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,a,g,e
1582,x,f,n,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,k,v,d,e
1583,x,f,g,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,k,s,g,e
1584,f,s,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,u,p
1585,f,s,g,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,s,g,e
1586,x,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,u,p
1587,x,f,n,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,n,v,d,e
1588,x,f,n,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,s,g,e
1589,x,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,p,e
1590,f,f,w,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,s,g,e
1591,f,s,w,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,a,g,e
1592,x,f,g,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,s,g,e
1593,f,f,g,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,s,g,e
1594,f,f,w,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,a,g,e
1595,x,f,g,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,s,g,e
1596,f,f,g,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,a,g,e
1597,x,f,g,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,n,v,d,e
1598,x,s,g,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,a,g,e
1599,f,s,g,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,s,g,e
1600,x,y,n,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,s,g,e
1601,x,y,g,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,k,y,d,e
1602,f,s,g,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,a,g,e
1603,f,f,w,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,s,g,e
1604,f,s,n,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,a,g,e
1605,f,f,w,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,s,g,e
1606,f,f,n,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,a,g,e
1607,f,s,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,a,g,e
1608,x,s,n,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,s,g,e
1609,x,f,n,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,y,d,e
1610,x,s,n,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,s,g,e
1611,x,f,n,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,a,g,e
1612,f,s,w,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,a,g,e
1613,x,f,n,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,y,u,e
1614,f,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,s,u,p
1615,f,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g,p
1616,x,f,n,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,v,d,e
1617,x,s,w,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,a,g,e
1618,f,f,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g,e
1619,x,s,n,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,s,g,e
1620,x,f,n,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,s,g,e
1621,x,s,g,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,s,g,e
1622,f,f,g,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,a,g,e
1623,f,s,n,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,s,g,e
1624,f,s,g,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,a,g,e
1625,x,f,e,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,k,v,d,e
1626,f,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,p
1627,x,f,n,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,s,g,e
1628,x,f,n,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,n,v,d,e
1629,f,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u,p
1630,f,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,g,p
1631,f,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,u,p
1632,f,f,w,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,a,g,e
1633,f,s,n,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,s,g,e
1634,f,f,n,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,a,g,e
1635,x,s,n,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,a,g,e
1636,f,s,n,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,k,a,g,e
1637,f,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g,p
1638,f,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,g,p
1639,f,s,g,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,a,g,e
1640,x,s,n,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,a,g,e
1641,x,s,n,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,s,g,e
1642,x,f,n,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,k,v,d,e
1643,x,f,n,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,n,v,d,e
1644,f,f,w,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,a,g,e
1645,f,f,w,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,s,g,e
1646,x,f,w,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,a,g,e
1647,x,s,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m,e
1648,f,s,g,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,n,a,g,e
1649,x,s,w,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,s,g,e
1650,x,f,n,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,s,g,e
1651,x,f,n,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,a,g,e
1652,x,s,w,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,s,g,e
1653,x,s,n,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,s,g,e
1654,x,s,g,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,s,g,e
1655,x,s,g,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,s,g,e
1656,f,s,w,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,s,g,e
1657,x,s,n,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,a,g,e
1658,f,f,g,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,s,g,e
1659,f,f,w,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,s,g,e
1660,x,f,w,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,a,g,e
1661,f,f,g,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,s,g,e
1662,x,f,g,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,a,g,e
1663,x,y,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,g,e
1664,x,s,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g,e
1665,x,s,w,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,a,g,e
1666,x,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,g,p
1667,x,f,w,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,s,g,e
1668,x,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,u,p
1669,x,y,g,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,v,d,e
1670,f,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,u,p
1671,x,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g,e
1672,x,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m,e
1673,f,y,n,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,y,p,e
1674,x,s,w,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,s,g,e
1675,f,s,n,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,s,g,e
1676,x,s,g,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,a,g,e
1677,x,s,w,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,a,g,e
1678,f,s,n,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,s,g,e
1679,f,s,n,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,a,g,e
1680,x,s,g,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,s,g,e
1681,b,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g,e
1682,x,s,g,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,s,g,e
1683,x,s,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,m,e
1684,f,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,g,p
1685,f,s,w,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,s,g,e
1686,f,s,n,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,s,g,e
1687,f,s,g,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,s,g,e
1688,f,f,g,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,s,g,e
1689,x,y,n,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,n,y,d,e
1690,x,f,n,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,k,y,d,e
1691,x,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,y,p,e
1692,x,f,g,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,y,d,e
1693,f,f,g,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,a,g,e
1694,f,s,n,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,s,g,e
1695,f,s,w,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,a,g,e
1696,x,f,g,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,a,g,e
1697,f,s,w,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,s,g,e
1698,f,f,g,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,a,g,e
1699,x,f,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g,e
1700,x,s,n,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,a,g,e
1701,x,f,n,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,k,y,d,e
1702,f,s,w,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,s,g,e
1703,f,f,n,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,s,g,e
1704,f,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,g,p
1705,x,f,n,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,y,d,e
1706,x,f,n,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,s,g,e
1707,f,f,w,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,s,g,e
1708,f,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u,p
1709,f,f,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,s,g,e
1710,x,f,g,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,v,d,e
1711,x,f,w,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,a,g,e
1712,x,f,g,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,s,g,e
1713,x,f,n,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,n,v,d,e
1714,x,s,g,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,a,g,e
1715,f,f,w,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,a,g,e
1716,x,f,g,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,k,y,d,e
1717,x,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,g,e
1718,x,y,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,m,e
1719,f,s,g,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,s,g,e
1720,f,s,w,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,a,g,e
1721,f,s,n,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,s,g,e
1722,f,s,w,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,a,g,e
1723,x,f,n,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,a,g,e
1724,x,s,n,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,s,g,e
1725,b,y,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,e
1726,f,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,g,p
1727,x,s,n,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,k,a,g,e
1728,f,s,n,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,s,g,e
1729,x,y,n,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,s,g,e
1730,x,s,g,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,n,a,g,e
1731,f,s,w,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,a,g,e
1732,x,s,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,u,p
1733,f,s,g,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,a,g,e
1734,x,f,w,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,s,g,e
1735,f,s,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,g,p
1736,x,f,n,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,a,g,e
1737,x,s,n,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,a,g,e
1738,x,f,n,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,k,v,d,e
1739,f,s,w,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,s,g,e
1740,f,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u,p
1741,x,f,w,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,a,g,e
1742,f,f,n,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,s,g,e
1743,f,s,g,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,s,g,e
1744,x,f,w,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,a,g,e
1745,f,y,n,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,g,e
1746,f,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,g,p
1747,x,f,w,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,a,g,e
1748,f,f,n,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,y,u,e
1749,f,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,u,p
1750,f,s,w,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,s,g,e
1751,x,f,g,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,s,g,e
1752,f,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,y,p,e
1753,x,f,w,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,s,g,e
1754,x,f,w,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,a,g,e
1755,f,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,g,p
1756,f,f,n,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,s,g,e
1757,f,f,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,s,g,e
1758,x,f,n,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,s,g,e
1759,x,f,n,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,n,v,d,e
1760,x,s,g,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,s,g,e
1761,x,s,g,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,a,g,e
1762,x,f,w,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,s,g,e
1763,f,f,g,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,s,g,e
1764,x,f,n,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,y,d,e
1765,x,s,w,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,s,g,e
1766,x,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,u,p
1767,f,s,g,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,a,g,e
1768,x,s,n,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,s,g,e
1769,x,f,n,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,v,d,e
1770,x,y,y,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,y,g,e
1771,x,s,g,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,a,g,e
1772,x,f,n,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,a,g,e
1773,x,f,w,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,a,g,e
1774,x,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g,e
1775,x,f,n,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,y,d,e
1776,x,f,w,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,a,g,e
1777,x,f,w,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,a,g,e
1778,f,s,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,u,p
1779,f,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u,p
1780,x,s,n,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,a,g,e
1781,x,f,g,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u,e
1782,f,s,n,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,s,g,e
1783,x,s,w,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,a,g,e
1784,f,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,g,p
1785,b,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g,e
1786,x,f,n,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,a,g,e
1787,f,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,u,p
1788,x,s,g,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,a,g,e
1789,x,s,g,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,s,g,e
1790,x,s,w,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,s,g,e
1791,f,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u,p
1792,f,s,w,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,a,g,e
1793,x,f,n,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,a,g,e
1794,f,f,n,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,s,g,e
1795,x,f,n,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,a,g,e
1796,f,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,g,p
1797,x,f,w,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,s,g,e
1798,f,s,w,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,a,g,e
1799,f,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u,p
1800,f,s,g,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,a,g,e
1801,f,y,n,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,v,d,e
1802,x,f,g,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,a,g,e
1803,x,f,g,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,v,d,e
1804,x,y,n,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,v,d,e
1805,f,f,n,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,y,d,e
1806,f,y,e,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,k,v,d,e
1807,f,s,g,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,s,g,e
1808,x,f,g,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,n,y,d,e
1809,x,y,g,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,y,d,e
1810,x,f,g,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,s,g,e
1811,f,s,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,g,p
1812,f,f,n,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,k,v,d,e
1813,x,s,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,g,p
1814,x,s,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,e
1815,x,s,w,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,a,g,e
1816,x,y,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g,e
1817,x,f,g,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,y,g,p
1818,f,s,n,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,a,g,e
1819,f,s,w,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,s,g,e
1820,x,f,n,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,v,d,e
1821,f,s,n,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,s,g,e
1822,x,f,n,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,s,g,e
1823,x,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u,p
1824,f,f,n,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,n,y,d,e
1825,x,y,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g,e
1826,f,f,g,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,s,g,e
1827,x,y,e,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,n,v,d,e
1828,f,f,w,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,s,g,e
1829,x,s,g,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,a,g,e
1830,x,y,n,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,k,v,d,e
1831,x,y,g,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,y,d,e
1832,x,f,g,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,v,d,e
1833,f,s,w,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,a,g,e
1834,x,f,g,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,k,v,d,e
1835,x,f,n,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,n,v,d,e
1836,x,f,e,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,v,d,e
1837,x,y,n,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,n,y,d,e
1838,f,f,w,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,s,g,e
1839,x,y,n,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,k,y,d,e
1840,x,s,g,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,s,g,e
1841,x,f,g,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,a,g,e
1842,f,f,w,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,a,g,e
1843,x,y,g,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,v,d,e
